"origName","cleanName"
"ALTA LANGUAGE SERVICES, INC	",""
"ALTEC INDUSTRIES INC	",""
"ALTEC INDUSTRIES, INC.	",""
"ALUTIIQ DIVERSIFIED SERVICES, LLC	",""
"ALVAREZ & ASSOCIATES, LLC	",""
"AMAZON.COM LLC	",""
"AMERICAN ALARM & COMMUNICATIONS, INC.	",""
"AMERICAN CORRECTIONAL ASSOCIATION, THE	",""
"AMERICAN EXPEDITING COMPANY	",""
"AMERICAN FIREARMS SCHOOL, LLC	",""
"AMERICAN IMMIGRATION LAWYERS ASSOCIATION	",""
"AMERICAN PURCHASING SERVICES, LLC	",""
"AMERICAN SECURITY PROGRAMS, IN	",""
"AMERICAN TONER & INK	",""
"AMMUNITION ACCESSORIES INC.	",""
"AMPED SOFTWARE INC.	",""
"AMRON INTERNATIONAL DIVING SUPPLY INCORPORATED	",""
"ANA-LAB CORPORATION	",""
"ANACAPA MICRO PRODUCTS, INC.	",""
"ANCHORTEX CORPORATION	",""
"ANGELES SHOOTING RANGES INCORPORATED	",""
"ANNAMS SYSTEMS CORPORATION	",""
"ANSI-ASQ NATIONAL ACCREDITATION BOARD, LLC	",""
"ANTEON CORPORATION	",""
"APL ACCESS & SECURITY, INC.	",""
"APPLIED FUNDAMENTALS CONSULTING LLC	",""
"ARAMARK UNIFORM & CAREER APPAREL, LLC	",""
"ARC ASPICIO LIMITED LIABILITY COMPANY	",""
"ARC ASPICIO LLC	",""
"ARC OF CUMBERLAND AND PERRY COUNTIES, THE	",""
"ARCOS DE ORO, LLC	",""
"ARDENT MANAGEMENT CONSULTING INCORPORATED	",""
"ARS ALEUT CONSTRUCTION, LLC	",""
"ASE DIRECT, INC.	",""
"ASSET PROTECTION & SECURITY SERVICES, L.P.	",""
"ASSET SECURITY TRACKING RECOVE	",""
"ASSO FOR THE BLIND AND VISUALLY IMPAIRED-GOODWILL INDUSTRIES OF GREATER ROCHESTER, INC.	",""
"ASSOCIATED SERVICES INC	",""
"ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED OF GREATER ROCHESTER, INC.	",""
"ASSOCIATION OF GOVERNMENT ACCOUNTANTS	",""
"ASTROPHYSICS INC.	",""
"AT YOUR SERVICE HEATING & COOLING, LLC	",""
"AT&T MOBILITY LLC	",""
"ATHENS TECHNICAL SPECIALISTS, INC	",""
"ATK SPORTING GROUP LLC	",""
"ATKINSON-BAKER, INC.	",""
"ATLANTIC DIVING SUPPLY INCORPORATED	",""
"ATLANTIC DIVING SUPPLY, INC.	",""
"ATLANTIC MANAGEMENT CENTER INCORPORATED	",""
"ATLANTIC PETROLEUM & MINERAL RESOURCES, INC	",""
"ATLANTIC SIGNAL LLC	",""
"AURORA SPORTSMENS CLUB	",""
"AUTOCLEAR LLC	",""
"AUTOMATION AIDS, INC	",""
"AVAYA FEDERAL SOLUTIONS, INC.	",""
"AXISCORE LIMITED LIABILITY COMPANY	",""
"AZIMUTH CORPORATION	",""
"B & H FOTO & ELECTRONICS CORP.	",""
"B & K TECHNOLOGY SOLUTIONS INC	",""
"B.E. MEYERS & CO. INC.	",""
"B.I. INCORPORATED	",""
"B.V. OIL COMPANY, INC.	",""
"B5 SYSTEMS, INC.	",""
"BABCO INTERNATIONAL, INC.	",""
"BAE SYSTEMS AEROSPACE & DEFENSE GROUP INC.	",""
"BAHFED CORP	",""
"BAHFED CORP.	",""
"BARLING BAY LLC	",""
"BATTLE RESOURCE MANAGEMENT, INC.	",""
"BCS SYSTEMS, INC.	",""
"BEACON TELECOM INC	",""
"BELLSOUTH TELECOMMUNICATIONS, INC.	",""
"BEN FITZGERALD REAL ESTATE SERVICES LLC	",""
"BENCHMARK FILING & SHEVLING SYSTEMS	",""
"BENEFIT PLANNING INCORPORATED	",""
"BENNET COMMUNICATIONS INC	",""
"BEST-TEC ASBESTOS ABATEMENT, INC.	",""
"BISHOP & ASSOCIATES INC	",""
"BIZFLOW CORP.	",""
"BLACK DIAMOND GUN CLUB	",""
"BLACK GOLD INDUSTRIES	",""
"BLACKSTONE TECHNOLOGY GROUP	",""
"BLUE CANOPY GROUP, LLC	",""
"BLUE FISH WORX, L.P.	",""
"BLUE TECH INC.	",""
"BLUELINE TACTICAL AND POLICE SUPPLY, LLC	",""
"BML TOOL & MFG CORP.	",""
"BNC ENTERPRISES LLC	",""
"BOB BARKER COMPANY INCORPORATED	",""
"BOB BARKER COMPANY, INC.	",""
"BONNER, COUNTY OF	",""
"BOOFIGHTER LLC	",""
"BOOZ ALLEN HAMILTON ENGINEERING SERVICES LLC	",""
"BOOZ ALLEN HAMILTON INC	",""
"BOOZ ALLEN HAMILTON INC.	",""
"BOOZ ALLEN HAMILTON INCORPORATED (3626)	",""
"BOSS INNOVATION & MARKETING	",""
"BOTACH TACTICAL	",""
"BOTTOM LINE MILITARY SALES, LLC	",""
"BOVARD INC	",""
"BOWHEAD COMMUNICATION SERVICES, LLC	",""
"BOWHEAD SUPPORT GROUP LLC	",""
"BRANDED GLOBAL PARTNERS, LLC	",""
"BRANTLEY BROS MOVING & STOR CO	",""
"BREACHING TECHNOLOGIES, INC.	",""
"BREDE-WASHINGTON, INC.	",""
"BROADCAST MICROWAVE SERVICES, INC.	",""
"BROMBERG AND ASSOCIATES LIMITED LIABILITY COMPANY	",""
"BROWN POINT FACILITY MANAGEMENT SOLUTIONS, LLC	",""
"BSE PERFORMANCE LLC	",""
"BUCKSTAFF PUBLIC SAFETY INCORPORATED	",""
"BUDDY'S SNACK BAR	",""
"BULLETIN NEWS, LLC	",""
"C & C INTERNATIONAL COMPUTERS & CONSULTANTS, INC.	",""
"C & M TRUCK & TIRE REPAIR CORP	",""
"C.F.I. DELIVERY, LTD.	",""
"C2G, LTD CO.	",""
"CACI-ISS, INC.	",""
"CALIFORNIA HIGHWAY PATROLMAN'S CLUB	",""
"CALLYO 2009 CORP.	",""
"CALSPAN CORPORATION	",""
"CAMBRIDGE INTERNATIONAL SYSTEMS INC.	",""
"CANAL ALARM DEVICES, INC.	",""
"CANNON IV, INC.	",""
"CANON U.S.A., INC.	",""
"CAPGEMINI GOVERNMENT SOLUTIONS LLC	",""
"CAPITAL COMPRESSOR, INC.	",""
"CAPITAL SHREDDER CORP	",""
"CAPITOL DIGITAL DOCUMENT SOLUTIONS	",""
"CAPP, INC.	",""
"CAPRICE ELECTRONICS, INC.	",""
"CARAHSOFT TECHNOLOGY CORP.	",""
"CARAHSOFT TECHNOLOGY CORPORATION	",""
"CAREY & COMPANY, LTD.	",""
"CARIBBEAN SCHOOL INC.	",""
"CAROL DAVIS REPORTING, RECORDS & VIDEO, INC.	",""
"CARTRIDGE TECHNOLOGIES, INC.	",""
"CASCADE NETWORKS, INC.	",""
"CBT NUGGETS, LLC	",""
"CBT SUPPLY, INC.	",""
"CDW GOVERNMENT LLC	",""
"CEIA USA LLC	",""
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS	",""
"CELLEBRITE INC.	",""
"CELLEBRITE USA CORP	",""
"CENTRAL ASSOCIATION FOR THE BLIND, INC.	",""
"CENTRAL LAKE ARMOR EXPRESS, INC.	",""
"CENTRAL PARKING CORPORATION	",""
"CENTRAL STATES WIRE PRODUCTS INCORPORATED	",""
"CENTRAL TRANSPORTATION SYSTEMS, INC	",""
"CENTURION GROUP INCORPORATED THE	",""
"CERTIFIED LANGUAGES INTERNATIONAL, L.L.C.	",""
"CHAINALYSIS INC.	",""
"CHENEGA FACILITIES MANAGEMENT, LLC	",""
"CHIEF SUPPLY CORPORATION	",""
"CHILD RESCUE COALITION, INC.	",""
"CICELY B HUDSON SOLUTIONS LLC	",""
"CIH SUPPORT, LLC	",""
"CISCO-EAGLE, INC.	",""
"CITIZANT, INC.	",""
"CJEN INC.	",""
"CLASSIC AIR CHARTER INC.	",""
"CLEARAVENUE LIMITED LIABILITY COMPANY	",""
"CLEARAVENUE, LLC	",""
"CLEATECH LLC	",""
"CLOSE QUARTERS TACTICAL, LLC	",""
"CLOUDBURST TECHNOLOGIES LLC	",""
"CLUB CAR, LLC	",""
"COGENT SOLUTIONS	",""
"COLD BOX EXPRESS LLC	",""
"COLMA, CITY OF	",""
"COLONIAL PARKING INC	",""
"COLT DEFENSE LLC	",""
"COMBINED SYSTEMS, INC.	",""
"COMCAST BUSINESS COMMUNICATIONS, LLC	",""
"COMCAST CABLE COMMUNICATIONS, LLC	",""
"COMMERCIAL MOVING SOLUTIONS, INC.	",""
"COMMUNICATIONS APPLIED TECHNOLOGY COMPANY INCORPORATED	",""
"COMPASS HOUSE	",""
"COMPLETE BOOK & MEDIA SUPPLY I	",""
"COMPLETE PACKAGING & SHIPPING	",""
"COMPONENT SOURCING GROUP	",""
"COMPREHENSIVE HEALTH SERVICES, INC.	",""
"COMPU DYNAMICS, LLC	",""
"COMPUTECH INTERNATIONAL, INC.	",""
"COMPUTER PROJECTS OF ILLINOIS, INC.	",""
"COMPUTER SCIENCES CORPORATION	",""
"CONCEALED TECHNOLOGY SERVICES INC.	",""
"CONCUR TECHNOLOGIES, INC.	",""
"CONDUIT LANGUAGE SPECIALISTS, INC.	",""
"CONDUIT TRANSCRIPTIONS, LLC	",""
"CONFERENCE TECHNOLOGIES, INC.	",""
"CONNECTICUT TRAILERS, INC.	",""
"CONTINENTAL TRANSPORTATION SOLUTIONS, INC.	",""
"CONTRACT FURNISHINGS, INC.	",""
"CONVERGINT TECHNOLOGIES LLC	",""
"COOKIE'S DME INC	",""
"COPIER FAX BUSINESS TECHNOLOGIES, INC.	",""
"COPPER RIVER ENTERPRISE SERVICES, LLC	",""
"CORDOVA SUPPORT SERVICES LIMITED	",""
"CORNELL COMPANIES, INC.	",""
"CORONADO DISTRIBUTION COMPANY, INC.	",""
"CORP TEN INTERNATIONAL	",""
"CORPORATE EXECUTIVE BOARD COMPANY, THE	",""
"CORPORATE SOURCE, INC., THE	",""
"CORRECTIONS CORPORATION OF AMERICA	",""
"COSTCONTROL USA LLC	",""
"COUNTY OF CLARK	",""
"COUNTY OF LANE	",""
"COUNTY OF ORANGE	",""
"COUNTY OF TWIN FALLS	",""
"COWBOY STREETLIGHT CONCEALMENTS LLC	",""
"COX ARIZONA TELCOM, L.L.C.	",""
"COXCOM, INC.	",""
"COXCOM, LLC	",""
"CQ-ROLL CALL, INC.	",""
"CREATIVE CORRECTIONS, L.L.C.	",""
"CRESCENT PRODUCTS, INC.	",""
"CRESSTON COMPANY LLC, THE	",""
"CRIME INFORMATION CENTER ARKANSAS	",""
"CRIME POINT, INC.	",""
"CROSSROADS COURIER INC.	",""
"CROWNE PLAZA TAMPA WESTSHORE	",""
"CSI AVIATION SERVICES, INC.	",""
"CSRA LLC	",""
"CUBIC GLOBAL DEFENSE, INC.	",""
"CUMMINS-ALLISON CORP.	",""
"CUSTOMER VALUE PARTNERS, INC.	",""
"D'TEL COMMUNICATIONS, INC	",""
"DAIGGER SCIENTIFIC, INC.	",""
"DAKOTA CONSULTING INCORPORATED	",""
"DANYA INTERNATIONAL LLC	",""
"DATA FACTS INC	",""
"DATA PAGES INCORPORATED	",""
"DATUM FILING SYSTEMS, INC.	",""
"DAVILA & ASSOCIATES INC	",""
"DEAF ACCESS SOLUTIONS, INC	",""
"DEFENSE POINT SECURITY, LLC	",""
"DELANY, SIEGEL, ZORN & ASSOCIATES, INC.	",""
"DELITOR INC	",""
"DELL FEDERAL SYSTEMS L.P.	",""
"DELL MARKETING L.P.	",""
"DELL MARKETING LIMITED PARTNERSHIP	",""
"DELOITTE & TOUCHE L.L.P.	",""
"DELOITTE & TOUCHE LLP	",""
"DELOITTE CONSULTING LLP	",""
"DELUXE DELIVERY SYSTEMS INC.	",""
"DEMUS ENTERPRISE CORP.	",""
"DENTRUST DENTAL INTERNATIONAL, INC.	",""
"DENVER HEALTH AND HOSPITALS AUTHORITY	",""
"DEPARTMENT OF EMERGENCY SERVICES AND PUBLIC PROTECTION	",""
"DESIGNSMITH LTD	",""
"DEV TECHNOLOGY GROUP, INC.	",""
"DEVA & ASSOCIATES, P.C.	",""
"DIALTONESERVICES L.P.	",""
"DIGITAL INTELLIGENCE, INC.	",""
"DIGITAL RECEIVER TECHNOLOGY, INC.	",""
"DIVERSE STAFFING SERVICES, INC.	",""
"DKW COMMUNICATIONS, INC.	",""
"DLT SOLUTIONS, LLC	",""
"DOCUMENT IMAGING DIMENSIONS	",""
"DOCUMENT IMAGING DIMENSIONS INC.	",""
"DOLLAR THRIFTY AUTOMOTIVE GROUP, INC.	",""
"DONOGHUE, JOHN M	",""
"DTC COMMUNICATIONS, INC.	",""
"DTM CORPORATION	",""
"DUN & BRADSTREET, INC.	",""
"EAGLE HILL CONSULTING, LLC	",""
"EASTERN CAROLINA VOCATIONAL CENTER INCORPORATED	",""
"EATON CORPORATION	",""
"ECLINICALWORKS, LLC	",""
"ECLIPSE BUSINESS GROUP, INC.	",""
"ECOLAB INC	",""
"ECOLOGY MIR GROUP LLC	",""
"ECONOMIC SYSTEMS, INC.	",""
"ECOVANTAGE ENERGY, INC.	",""
"ECS FEDERAL, LLC	",""
"EDGE TECHNOLOGY DISTRIBUTORS, INC.	",""
"ELECTRONIC DATA CARRIERS, INC.	",""
"ELECTRONIC RISKS CONSULTANTS, INC	",""
"ELEVATION LIMITED	",""
"ELITE SHOOTING SPORTS LLC	",""
"ELLISON SYSTEMS INCORPORATED	",""
"EMCOR GOVERNMENT SERVICES, INC.	",""
"EMERGENT, LLC	",""
"EMS SAFETY SERVICES INC	",""
"EMTEC FEDERAL INCORPORATED	",""
"ENFORCEMENT TECHNOLOGY GROUP INCORPORATED	",""
"ENGEL BALLISTIC RESEARCH INC	",""
"ENTCO GOVERNMENT SOFTWARE LLC	",""
"ENTECH SALES AND SERVICE, INC.	",""
"ENTERPRISE RESOURCE PLANNED SYSTEMS INTERNATIONAL, LLC	",""
"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.	",""
"ENVIRONMENTAL QUALITY, TEXAS COMMISSION ON	",""
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.	",""
"ENVISAGE TECHNOLOGIES CORPORATION	",""
"ENVISAGE TECHNOLOGIES, LLC	",""
"ENVISION XPRESS, INC.	",""
"ENVISION, INC.	",""
"ERAD GROUP, INC.	",""
"ERNST & YOUNG LLP	",""
"ERNST AND YOUNG LLP	",""
"ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC., THE	",""
"ESCGOV	",""
"EVACUSLED INC	",""
"EVIGILANT.COM INCORPORATED	",""
"EWA GOVERNMENT SYSTEMS, INC.	",""
"EWING ELECTRONICS, INC.	",""
"EXCELLA CONSULTING INCORPORATED	",""
"EXECUTIVE INFORMATION SYSTEMS,	",""
"EXECUTIVE INFORMATION SYSTEMS, LLC	",""
"EXECUTIVE OFFICE OF THE STATE OF NORTH CAROLINA	",""
"EXPRESS ALLIANCE COURIER	",""
"EXXACT CORPORATION	",""
"EZ PRINT SUPPLIES, INC.	",""
"F C I TECH INC.	",""
"FAAC INCORPORATED	",""
"FAMILY FIRST 5 INC.	",""
"FARBER SPECIALTY VEHICLES, INC	",""
"FAX PLUS INCORPORATED	",""
"FCN	",""
"FCN, INC.	",""
"FEDCAP REHABILITATION SERVICES, INC.	",""
"FEDERAL CARTRIDGE COMPANY	",""
"FEDERAL CONTRACTS CORP	",""
"FEDERAL DEFENSE SOLUTIONS, INC.	",""
"FEDERAL EXPRESS CORPORATION	",""
"FEDERAL FACILITATORS, LLC.	",""
"FEDERAL HEARINGS AND APPEALS SERVICES, INC.	",""
"FEDERAL LOCK AND SAFE, INCORPORATED	",""
"FEDERAL MANAGEMENT SYSTEMS, INC.	",""
"FEDERAL PRISON INDUSTRIES INC	",""
"FEDERAL PRISON INDUSTRIES, INC	",""
"FEDERAL RESOURCES SUPPLY COMPANY	",""
"FEDRESULTS, INC.	",""
"FEDSTORE CORPORATION	",""
"FEENEY WIRELESS, LLC	",""
"FERBAK, INC.	",""
"FILEONQ, INC.	",""
"FIRE SAFETY SYSTEMS INC.	",""
"FIRELAKE CONSTRUCTION, INC.	",""
"FISHER SCIENTIFIC COMPANY L.L.C.	",""
"FISKARS BRANDS, INC.	",""
"FITZGERALD, BEN REAL ESTATE SE	",""
"FLEET MANAGEMENT SOLUTIONS, INC.	",""
"FLYTECOMM, INC.	",""
"FN AMERICA, LLC	",""
"FOCUS CAMERA LLC	",""
"FOLSOM SHOOTING CLUB INC	",""
"FORBES, INC., C.	",""
"FORFEITURE SUPPORT ASSOCIATES, LLC	",""
"FOSTER & FREEMAN USA INC.	",""
"FOSTER & LEVESQUE LLC	",""
"FOSTER PRODUCTS, INC.	",""
"FOUR POINTS TECHNOLOGY, L.L.C.	",""
"FOX RIVER GRAPHICS	",""
"FPMI SOLUTIONS INCORPORATED	",""
"FRANKLIN COVEY CLIENT SALES INC	",""
"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED	",""
"FREEMAN EXPOSITIONS, INC.	",""
"FRONTEO GOVERNMENT SERVICES, INC.	",""
"FS PARTNERS LLP	",""
"FUTURE FIBRE TECHNOLOGIES (US) INC.	",""
"G T DISTRIBUTORS, INC.	",""
"G4S SECURE SOLUTIONS (USA) INC	",""
"GALLS, INC	",""
"GARRET P DEMOTT	",""
"GARRETT ELECTRONICS, INC.	",""
"GAYLORD BROS., INC.	",""
"GC ALLIANCE, LLC	",""
"GEMINI INDUSTRIES INC.	",""
"GENERAL DYNAMICS MISSION SYSTEMS, INC	",""
"GENERAL DYNAMICS ORDNANCE AND TACTICAL SYSTEMS - SIMUNITION OPERATIONS, INC.	",""
"GENESIS RESOURCE INC	",""
"GEO CARE LLC	",""
"GEO GROUP INC., THE	",""
"GEO GROUP, INC., THE	",""
"GEO MED LIMITED LIABILITY COMPANY	",""
"GIANT OAK, INC.	",""
"GLOBAL DATA CENTER INC	",""
"GLOBAL INFINITY ENTERPRISE LIMITED LIABILITY COMPANY	",""
"GLOBAL PRECISION SYSTEMS, LLC	",""
"GLOBAL REACH PETROLEUM, LLC	",""
"GLOBAL RESOURCE SOLUTIONS, INC.	",""
"GLOBAL SYSTEMS OF AMERICA CORPORATION	",""
"GLOBAL TECH INC.	",""
"GLOBAL TRAVELER LLC	",""
"GLOCK, INC.	",""
"GO & ZALEZ INC.	",""
"GO TO GROUP, INC, THE	",""
"GOALTEX CORP	",""
"GOLDEN KEY GROUP, LLC	",""
"GOOD SOURCE SOLUTIONS, INC.	",""
"GOODCO MECHANICAL INC	",""
"GOVERNMENT ACQUISITIONS INCORPORATED	",""
"GOVERNMENT ACQUISITIONS, INC.	",""
"GOVERNMENT CONTRACT SOLUTIONS INC	",""
"GOVERNMENT MARKETING AND PROCU	",""
"GOVERNMENT SCIENTIFIC SOURCE INCORPORATED	",""
"GOVERNMENT TRAINING INSTITUTE, INC.	",""
"GOVPLACE	",""
"GOVSMART, INC.	",""
"GPS INTELLIGENCE LLC	",""
"GRADUATE SCHOOL	",""
"GRANT THORNTON LLP	",""
"GREEN 320, LLC	",""
"GREEN IT SYSTEMS GROUP	",""
"GREENZONE SOLUTIONS, INC.	",""
"GRIFFEYE INC.	",""
"GTSI CORP.	",""
"GTSI CORPORATION	",""
"GUIDANCE SOFTWARE, INC.	",""
"GULF BREEZE PROPERTIES, II L.L.C.	",""
"H SQUARED, INC.	",""
"H. L., DALIS, INC.	",""
"HALE OUTDOOR PRODUCTS, LLC	",""
"HALO GROUP, INC.	",""
"HAMILTON ENTERPRISES, LLC	",""
"HANAPS ENTERPRISES	",""
"HARDIGG INDUSTRIES, INC.	",""
"HARDWARE, INC	",""
"HARIOM INC.	",""
"HARRIS CORPORATION	",""
"HARRIS IT SERVICES CORPORATION	",""
"HARTFORD PARKING AUTHORITY	",""
"HAWAIIAN TELCOM SERVICES COMPANY, INC	",""
"HAWORTH, INC	",""
"HAWORTH, INC.	",""
"HAYNES SECURITY CORP	",""
"HDR ENVIRONMENTAL, OPERATIONS AND CONSTRUCTION, INC.	",""
"HEARTSAFE AMERICA, INC	",""
"HECKLER & KOCH DEFENSE INC.	",""
"HELGEN INDUSTRIES, INC.	",""
"HELIX GROUP LLC	",""
"HERGO, ERGONOMIC SUPPORT SYSTEMS, INC.	",""
"HERMAN MILLER, INC.	",""
"HEURESIS CORP	",""
"HIBLER, NEIL S PHD ABBP	",""
"HIGHLANDS RANCH LAW ENFORCEMENT TRAINING FOUNDATION, THE	",""
"HILL & MAC GUNWORKS LLC	",""
"HILLSBOROUGH, COUNTY OF	",""
"HOWELL, NATHANIEL	",""
"HP ENTERPRISE SERVICES, LLC	",""
"HR ANEW, INC.	",""
"HRWORX, LLC	",""
"HUBSTREAM, INC	",""
"HUDSON RIVER PARK TRUST	",""
"HULLIHENS LAWN CARE INC	",""
"HUMAN RESOURCES INSTITUTE INCORPORATED	",""
"HUNTER SYSTEMS GROUP, INC.	",""
"HURON VALLEY GUNS	",""
"HURST, CITY OF	",""
"HYATT CORPORATION	",""
"IBEAGHA, ANTHONY	",""
"ICS JAIL SUPPLIES, INC.	",""
"IMAGANN CLEANING SERVICE, INC.	",""
"IMMEDIATE SYSTEM RESOURCES, INC	",""
"IMMIXTECHNOLOGY, INC.	",""
"IMPERIAL VALLEY RIFLE & PISTOL ASSOCIATION	",""
"IMPERIAL, COUNTY (INC)	",""
"IMPRES TECHNOLOGY SOLUTIONS, INC.	",""
"IMSOLUTIONS LLC	",""
"INCIDENT COMMUNICATION SOLUTIONS, LLC	",""
"INDEPENDENT HARDWARE, INC.	",""
"INDEV	",""
"INDUSTRIAL VIDEO & CONTROL CO., LLC	",""
"INDUSTRIES OF THE BLIND, INCORPORATED	",""
"INFOCUS HEALTH, LLC	",""
"INFORELIANCE CORPORATION	",""
"INGENESIS INC.	",""
"INGENESIS INCORPORATED	",""
"INSERSO CORPORATION	",""
"INSIGHT TECHNOLOGY SOLUTIONS INC.	",""
"INSTALLATION MORALE WELFARE RECREATION FUND	",""
"INSYTE LLC	",""
"INTEGRAL CONSULTING SERVICES INCORPORATED	",""
"INTEGRATED EXHIBITS INC	",""
"INTEGRATED FINANCE AND ACCOUNTING SOLUTIONS, LLC	",""
"INTEGRATED PARCEL NETWORK	",""
"INTEGRATION TECHNOLOGIES GROUP, INC.	",""
"INTERACTIVE COMMUNICATIONS SOLUTIONS GROUP, INC.	",""
"INTERCEPTOR PUBLIC SAFETY PRODUCTS, INC.	",""
"INTERCONNECT COMMUNICATION SPECIALISTS	",""
"INTERIOR FACILITIES DESIGN LIMITED LIABILITY COMPANY	",""
"INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE	",""
"INTERNATIONAL BUSINESS MACHINE	",""
"INTERNATIONAL BUSINESS MACHINES CORPORATION	",""
"INTERNATIONAL CARTRIDGE CORPORATION	",""
"INTERNATIONAL SATELLITE SERVICES, INC.	",""
"INTERNATIONAL TELEVISION CORP	",""
"INTERPARK LLC	",""
"IPI GRAMMTECH LTD	",""
"IROBOT CORPORATION	",""
"ISLIP, TOWN OF	",""
"ISS ACTION, INC.	",""
"ISYS, LLC	",""
"ITIN SCALE COMPANY INCORPORATED	",""
"J & S POWER SOLUTIONS INC	",""
"J OLIVA TRUCKING	",""
"J P INDUSTRIES INC	",""
"J S J RODRIGUEZ, INC.	",""
"J. DIAMOND GROUP, INC., THE	",""
"JACK KNELLY'S OFFICE FURNITURE SPECIALTIES, INC.	",""
"JACQUES CATERING OF NY INC	",""
"JANZ CORPORATION, THE	",""
"JASPER SAWYER COMPANY L.L.C	",""
"JAVA PRODUCTIONS, INC.	",""
"JCT, INC.	",""
"JDG ASSOCIATES, INC.	",""
"JDL DIGITAL SYSTEMS INC	",""
"JENKINS SECURITY CONSULTANTS INCORPORATED	",""
"JESUIT REFUGEE SERVICE USA	",""
"JETICO INC. OY	",""
"JOHN WILEY & SONS, INC.	",""
"JOHN WILEY AND SONS INCORPORATED	",""
"JOHNS HOPKINS UNIVERSITY, THE	",""
"JOHNSON CONTROLS SECURITY SOLUTIONS LLC	",""
"JOHNSON CONTROLS, INC.	",""
"JOLIVA TRUCKING LLC	",""
"JSI TELECOM INC.	",""
"JTF BUSINESS SYSTEMS CORPORATION	",""
"JTF BUSINESS SYSTEMS INC	",""
"JUSTICE PACKAGING CORPORATION	",""
"JUSTICETRAX INC.	",""
"JWM WHOLESALE, INC.	",""
"KADIX SYSTEMS LIMITED LIABILITY COMPANY	",""
"KADIX SYSTEMS, LLC	",""
"KALOS, INC.	",""
"KAPSUUN GROUP, LLC	",""
"KARDA SYSTEMS LLC	",""
"KCORP SUPPORT SERVICES, INC.	",""
"KCORP TECHNOLOGY SERVICES, INC.	",""
"KDH DEFENSE SYSTEMS INC	",""
"KEARNEY & COMPANY, P.C.	",""
"KEL-TECH PLASTICS, INC.	",""
"KELL SYSTEMS INC.	",""
"KERN, COUNTY OF	",""
"KEYSIGHT TECHNOLOGIES, INC.	",""
