origName,cleanName
"ALL POINTS LOGISTICS INCORPORATED	","All Points Logistics	"
"ALLCLEAR ID, INC.	",Allclear ID
"ALLIED MODULAR BUILDING SYSTEMS INCORPORATED	","Allied Modular Building Systems	"
"ALLWORLD LANGUAGE CONSULTANTS INC.	","Allworld Language Consultants	"
"ALON INCORPORATED	","Alon	"
"ALPHAPOINTE	","Alphapointe	"
"ALTA LANGUAGE SERVICES, INC	","Alta Language Services	"
"ALTEC INDUSTRIES INC	","Altec Industries	"
"ALTEC INDUSTRIES, INC.	","Altec Industries	"
"ALUTIIQ DIVERSIFIED SERVICES, LLC	","Alutiiq Diversified Services	"
"ALVAREZ & ASSOCIATES, LLC	","Alvarez & Associates	"
"AMAZON.COM LLC	","Amazon.com	"
"AMERICAN ALARM & COMMUNICATIONS, INC.	","American Alarm & Communications	"
"AMERICAN CORRECTIONAL ASSOCIATION, THE	","The American Correctional Association	"
"AMERICAN EXPEDITING COMPANY	","American Expediting Company	"
"AMERICAN FIREARMS SCHOOL, LLC	","American Firearms School	"
"AMERICAN IMMIGRATION LAWYERS ASSOCIATION	","American Immigration Lawyers Association	"
"AMERICAN PURCHASING SERVICES, LLC	","American Purchasing Services	"
"AMERICAN SECURITY PROGRAMS, IN	","American Security Programs	"
"AMERICAN TONER & INK	","American Toner & Ink	"
"AMMUNITION ACCESSORIES INC.	","Ammunition Accessories	"
"AMPED SOFTWARE INC.	","Amped Software	"
"AMRON INTERNATIONAL DIVING SUPPLY INCORPORATED	","Amron International Diving Supply	"
"ANA-LAB CORPORATION	",Ana-Lab
"ANACAPA MICRO PRODUCTS, INC.	","Anacapa Micro Products	"
"ANCHORTEX CORPORATION	",Anchortex
"ANGELES SHOOTING RANGES INCORPORATED	","Angeles Shooting Ranges	"
"ANNAMS SYSTEMS CORPORATION	",Annams Systems
"ANSI-ASQ NATIONAL ACCREDITATION BOARD, LLC	","ANSI-ASQ National Accreditation Board	"
"ANTEON CORPORATION	",Anteon
"APL ACCESS & SECURITY, INC.	","APL Access & Security	"
"APPLIED FUNDAMENTALS CONSULTING LLC	","Applied Fundamentals Consulting	"
"ARAMARK UNIFORM & CAREER APPAREL, LLC	","Aramark Uniform & Career Apparel	"
"ARC ASPICIO LIMITED LIABILITY COMPANY	","Arc Aspicio 	"
"ARC ASPICIO LLC	","Arc Aspicio	"
"ARC OF CUMBERLAND AND PERRY COUNTIES, THE	","The Arc of Cumberland and Perry Counties	"
"ARCOS DE ORO, LLC	","Arcos De Oro	"
"ARDENT MANAGEMENT CONSULTING INCORPORATED	","Ardent Management Consulting	"
"ARS ALEUT CONSTRUCTION, LLC	","Ars Aleut Construction	"
"ASE DIRECT, INC.	","Ase Direct	"
"ASSET PROTECTION & SECURITY SERVICES, L.P.	","Asset Protection & Security Services	"
"ASSET SECURITY TRACKING RECOVE	","Asset Security Tracking Recove	"
"ASSO FOR THE BLIND AND VISUALLY IMPAIRED-GOODWILL INDUSTRIES OF GREATER ROCHESTER, INC.	","Asso For The Blind and Visually Impaired-Goodwill Industries of Greater Rochester	"
"ASSOCIATED SERVICES INC	","Associated Services	"
"ASSOCIATION FOR THE BLIND AND VISUALLY IMPAIRED OF GREATER ROCHESTER, INC.	","Association For The Blind and Visually Impaired of Greater Rochester	"
"ASSOCIATION OF GOVERNMENT ACCOUNTANTS	","Association of Government Accountants	"
"ASTROPHYSICS INC.	","Astrophysics	"
"AT YOUR SERVICE HEATING & COOLING, LLC	","At Your Service Heating & Cooling	"
"AT&T MOBILITY LLC	","AT&T Mobility	"
"ATHENS TECHNICAL SPECIALISTS, INC	","Athens Technical Specialists	"
"ATK SPORTING GROUP LLC	","ATK Sporting Group	"
"ATKINSON-BAKER, INC.	","Atkinson-Baker	"
"ATLANTIC DIVING SUPPLY INCORPORATED	","Atlantic Diving Supply	"
"ATLANTIC DIVING SUPPLY, INC.	","Atlantic Diving Supply	"
"ATLANTIC MANAGEMENT CENTER INCORPORATED	","Atlantic Management Center	"
"ATLANTIC PETROLEUM & MINERAL RESOURCES, INC	","Atlantic Petroleum & Mineral Resources	"
"ATLANTIC SIGNAL LLC	","Atlantic Signal	"
"AURORA SPORTSMENS CLUB	","Aurora Sportsmens Club	"
"AUTOCLEAR LLC	","Autoclear	"
"AUTOMATION AIDS, INC	","Automation Aids	"
"AVAYA FEDERAL SOLUTIONS, INC.	","Avaya Federal Solutions	"
"AXISCORE LIMITED LIABILITY COMPANY	","Axiscore 	"
"AZIMUTH CORPORATION	",Azimuth
"B & H FOTO & ELECTRONICS CORP.	","B & H Foto & Electronics	"
"B & K TECHNOLOGY SOLUTIONS INC	","B & K Technology Solutions	"
"B.E. MEYERS & CO. INC.	","B.E. Meyers & Co.	"
"B.I. INCORPORATED	","B.I.	"
"B.V. OIL COMPANY, INC.	","B.V. Oil Company	"
"B5 SYSTEMS, INC.	","B5 Systems	"
"BABCO INTERNATIONAL, INC.	","Babco International	"
"BAE SYSTEMS AEROSPACE & DEFENSE GROUP INC.	","BAE Systems Aerospace & Defense Group	"
"BAHFED CORP	","BahFed 	"
"BAHFED CORP.	","BahFed	"
"BARLING BAY LLC	","Barling Bay	"
"BATTLE RESOURCE MANAGEMENT, INC.	","Battle Resource Management	"
"BCS SYSTEMS, INC.	","BCS Systems	"
"BEACON TELECOM INC	","Beacon Telecom	"
"BELLSOUTH TELECOMMUNICATIONS, INC.	","Bellsouth Telecommunications	"
"BEN FITZGERALD REAL ESTATE SERVICES LLC	","Ben Fitzgerald Real Estate Services	"
"BENCHMARK FILING & SHEVLING SYSTEMS	","Benchmark Filing & Shevling Systems	"
"BENEFIT PLANNING INCORPORATED	","Benefit Planning	"
"BENNET COMMUNICATIONS INC	","Bennet Communications	"
"BEST-TEC ASBESTOS ABATEMENT, INC.	","Best-Tec Asbestos Abatement	"
"BISHOP & ASSOCIATES INC	","Bishop & Associates	"
"BIZFLOW CORP.	","Bizflow	"
"BLACK DIAMOND GUN CLUB	","Black Diamond Gun Club	"
"BLACK GOLD INDUSTRIES	","Black Gold Industries	"
"BLACKSTONE TECHNOLOGY GROUP	","Blackstone Technology Group	"
"BLUE CANOPY GROUP, LLC	","Blue Canopy Group	"
"BLUE FISH WORX, L.P.	","Blue Fish Worx	"
"BLUE TECH INC.	","Blue Tech	"
"BLUELINE TACTICAL AND POLICE SUPPLY, LLC	","Blueline Tactical and Police Supply	"
"BML TOOL & MFG CORP.	","BML Tool & MFG	"
"BNC ENTERPRISES LLC	","BNC Enterprises	"
"BOB BARKER COMPANY INCORPORATED	","Bob Barker Company	"
"BOB BARKER COMPANY, INC.	","Bob Barker Company	"
"BONNER, COUNTY OF	","County of Bonner	"
"BOOFIGHTER LLC	","Boofighter	"
"BOOZ ALLEN HAMILTON ENGINEERING SERVICES LLC	","Booz Allen Hamilton Engineering Services	"
"BOOZ ALLEN HAMILTON INC	","Booz Allen Hamilton	"
"BOOZ ALLEN HAMILTON INC.	","Booz Allen Hamilton	"
"BOOZ ALLEN HAMILTON INCORPORATED (3626)	","Booz Allen Hamilton	"
"BOSS INNOVATION & MARKETING	","Boss Innovation & Marketing	"
"BOTACH TACTICAL	","Botach Tactical	"
"BOTTOM LINE MILITARY SALES, LLC	","Bottom Line Military Sales	"
"BOVARD INC	","Bovard	"
"BOWHEAD COMMUNICATION SERVICES, LLC	","Bowhead Communication Services	"
"BOWHEAD SUPPORT GROUP LLC	","Bowhead Support Group	"
"BRANDED GLOBAL PARTNERS, LLC	","Branded Global Partners	"
"BRANTLEY BROS MOVING & STOR CO	","Brantley Bros Moving & Stor	"
"BREACHING TECHNOLOGIES, INC.	","Breaching Technologies	"
"BREDE-WASHINGTON, INC.	","Brede-Washington	"
"BROADCAST MICROWAVE SERVICES, INC.	","Broadcast Microwave Services	"
"BROMBERG AND ASSOCIATES LIMITED LIABILITY COMPANY	","Bromberg and Associates 	"
"BROWN POINT FACILITY MANAGEMENT SOLUTIONS, LLC	","Brown Point Facility Management Solutions	"
"BSE PERFORMANCE LLC	","BSE Performance	"
"BUCKSTAFF PUBLIC SAFETY INCORPORATED	","Buckstaff Public Safety	"
"BUDDY'S SNACK BAR	","Buddy's Snack Bar	"
"BULLETIN NEWS, LLC	","Bulletin News	"
"C & C INTERNATIONAL COMPUTERS & CONSULTANTS, INC.	","C & C International Computers & Consultants	"
"C & M TRUCK & TIRE REPAIR CORP	","C & M Truck & Tire Repair 	"
"C.F.I. DELIVERY, LTD.	","C.F.I. Delivery,	"
"C2G, LTD CO.	","C2G Co.	"
"CACI-ISS, INC.	",CACI-ISS
"CALIFORNIA HIGHWAY PATROLMAN'S CLUB	","California Highway Patrolman's Club	"
"CALLYO 2009 CORP.	","Callyo 2009	"
"CALSPAN CORPORATION	",Calspan
"CAMBRIDGE INTERNATIONAL SYSTEMS INC.	","Cambridge International Systems	"
"CANAL ALARM DEVICES, INC.	","Canal Alarm Devices	"
"CANNON IV, INC.	",Cannon LV
"CANON U.S.A., INC.	",Canon USA
"CAPGEMINI GOVERNMENT SOLUTIONS LLC	","Capgemini Government Solutions	"
"CAPITAL COMPRESSOR, INC.	","Capital Compressor	"
"CAPITAL SHREDDER CORP	","Capital Shredder	"
"CAPITOL DIGITAL DOCUMENT SOLUTIONS	","Capitol Digital Document Solutions	"
"CAPP, INC.	","CAPP	"
"CAPRICE ELECTRONICS, INC.	","Caprice Electronics	"
"CARAHSOFT TECHNOLOGY CORP.	","Carahsoft Technology	"
"CARAHSOFT TECHNOLOGY CORPORATION	",Carahsoft Technology
"CAREY & COMPANY, LTD.	","Carey & Company,	"
"CARIBBEAN SCHOOL INC.	","Caribbean School	"
"CAROL DAVIS REPORTING, RECORDS & VIDEO, INC.	","Carol Davis Reporting, Records & Video	"
"CARTRIDGE TECHNOLOGIES, INC.	","Cartridge Technologies	"
"CASCADE NETWORKS, INC.	","Cascade Networks	"
"CBT NUGGETS, LLC	","CBT Nuggets	"
"CBT SUPPLY, INC.	","CBT Supply	"
"CDW GOVERNMENT LLC	","CDW Government	"
"CEIA USA LLC	","CEIA USA	"
"CELLCO PARTNERSHIP DBA VERIZON WIRELESS	","Cellco Partnership Dba Verizon Wireless	"
"CELLEBRITE INC.	","Cellebrite	"
"CELLEBRITE USA CORP	","Cellebrite USA	"
"CENTRAL ASSOCIATION FOR THE BLIND, INC.	","Central Association For The Blind	"
"CENTRAL LAKE ARMOR EXPRESS, INC.	","Central Lake Armor Express	"
"CENTRAL PARKING CORPORATION	",Central Parking
"CENTRAL STATES WIRE PRODUCTS INCORPORATED	","Central States Wire Products	"
"CENTRAL TRANSPORTATION SYSTEMS, INC	","Central Transportation Systems	"
"CENTURION GROUP INCORPORATED THE	",The Centurion Group
"CERTIFIED LANGUAGES INTERNATIONAL, L.L.C.	",Certified Languages International
"CHAINALYSIS INC.	","Chainalysis	"
"CHENEGA FACILITIES MANAGEMENT, LLC	","Chenega Facilities Management	"
"CHIEF SUPPLY CORPORATION	",Chief Supply
"CHILD RESCUE COALITION, INC.	","Child Rescue Coalition	"
"CICELY B HUDSON SOLUTIONS LLC	","Cicely B Hudson Solutions	"
"CIH SUPPORT, LLC	","CIH Support	"
"CISCO-EAGLE, INC.	","Cisco-Eagle	"
"CITIZANT, INC.	","Citizant	"
"CJEN INC.	",CJEN
"CLASSIC AIR CHARTER INC.	","Classic Air Charter	"
"CLEARAVENUE LIMITED LIABILITY COMPANY	","Clearavenue 	"
"CLEARAVENUE, LLC	","Clearavenue	"
"CLEATECH LLC	","Cleatech	"
"CLOSE QUARTERS TACTICAL, LLC	","Close Quarters Tactical	"
"CLOUDBURST TECHNOLOGIES LLC	","Cloudburst Technologies	"
"CLUB CAR, LLC	","Club Car	"
"COGENT SOLUTIONS	","Cogent Solutions	"
"COLD BOX EXPRESS LLC	","Cold Box Express	"
"COLMA, CITY OF	","City of Colma	"
"COLONIAL PARKING INC	","Colonial Parking	"
"COLT DEFENSE LLC	","Colt Defense	"
"COMBINED SYSTEMS, INC.	","Combined Systems	"
"COMCAST BUSINESS COMMUNICATIONS, LLC	","Comcast Business Communications	"
"COMCAST CABLE COMMUNICATIONS, LLC	","Comcast Cable Communications	"
"COMMERCIAL MOVING SOLUTIONS, INC.	","Commercial Moving Solutions	"
"COMMUNICATIONS APPLIED TECHNOLOGY COMPANY INCORPORATED	","Communications Applied Technology Company	"
"COMPASS HOUSE	","Compass House	"
"COMPLETE BOOK & MEDIA SUPPLY I	","Complete Book & Media Supply	"
"COMPLETE PACKAGING & SHIPPING	","Complete Packaging & Shipping	"
"COMPONENT SOURCING GROUP	","Component Sourcing Group	"
"COMPREHENSIVE HEALTH SERVICES, INC.	","Comprehensive Health Services	"
"COMPU DYNAMICS, LLC	","Compu Dynamics	"
"COMPUTECH INTERNATIONAL, INC.	","Computech International	"
"COMPUTER PROJECTS OF ILLINOIS, INC.	","Computer Projects of Illinois	"
"COMPUTER SCIENCES CORPORATION	",Computer Sciences
"CONCEALED TECHNOLOGY SERVICES INC.	","Concealed Technology Services	"
"CONCUR TECHNOLOGIES, INC.	","Concur Technologies	"
"CONDUIT LANGUAGE SPECIALISTS, INC.	","Conduit Language Specialists	"
"CONDUIT TRANSCRIPTIONS, LLC	","Conduit Transcriptions	"
"CONFERENCE TECHNOLOGIES, INC.	","Conference Technologies	"
"CONNECTICUT TRAILERS, INC.	","Connecticut Trailers	"
"CONTINENTAL TRANSPORTATION SOLUTIONS, INC.	","Continental Transportation Solutions	"
"CONTRACT FURNISHINGS, INC.	","Contract Furnishings	"
"CONVERGINT TECHNOLOGIES LLC	","Convergint Technologies	"
"COOKIE'S DME INC	",Cookie's DME
"COPIER FAX BUSINESS TECHNOLOGIES, INC.	","Copier Fax Business Technologies	"
"COPPER RIVER ENTERPRISE SERVICES, LLC	","Copper River Enterprise Services	"
"CORDOVA SUPPORT SERVICES LIMITED	",Cordova Support Services
"CORNELL COMPANIES, INC.	","Cornell Companies	"
"CORONADO DISTRIBUTION COMPANY, INC.	","Coronado Distribution Company	"
"CORP TEN INTERNATIONAL	","Corp Ten International	"
"CORPORATE EXECUTIVE BOARD COMPANY, THE	","The Corporate Executive Board Company	"
"CORPORATE SOURCE, INC., THE	","The Corporate Source	"
"CORRECTIONS CORPORATION OF AMERICA	","Corrections Corporation of America	"
"COSTCONTROL USA LLC	","Costcontrol USA	"
"COUNTY OF CLARK	","County of Clark	"
"COUNTY OF LANE	","County of Lane	"
"COUNTY OF ORANGE	","County of Orange	"
"COUNTY OF TWIN FALLS	","County of Twin Falls	"
"COWBOY STREETLIGHT CONCEALMENTS LLC	","Cowboy Streetlight Concealments	"
"COX ARIZONA TELCOM, L.L.C.	","Cox Arizona Telcom,	"
"COXCOM, INC.	","Coxcom	"
"COXCOM, LLC	","Coxcom	"
"CQ-ROLL CALL, INC.	","CQ-Roll Call	"
"CREATIVE CORRECTIONS, L.L.C.	","Creative Corrections	"
"CRESCENT PRODUCTS, INC.	","Crescent Products	"
"CRESSTON COMPANY LLC, THE	","The Cresston Company	"
"CRIME INFORMATION CENTER ARKANSAS	","Crime Information Center Arkansas	"
"CRIME POINT, INC.	","Crime Point	"
"CROSSROADS COURIER INC.	","Crossroads Courier	"
"CROWNE PLAZA TAMPA WESTSHORE	","Crowne Plaza Tampa Westshore	"
"CSI AVIATION SERVICES, INC.	","CSI Aviation Services	"
"CSRA LLC	","CSRA	"
"CUBIC GLOBAL DEFENSE, INC.	","Cubic Global Defense	"
"CUMMINS-ALLISON CORP.	","Cummins-Allison	"
"CUSTOMER VALUE PARTNERS, INC.	","Customer Value Partners	"
"D'TEL COMMUNICATIONS, INC	","D'Tel Communications	"
"DAIGGER SCIENTIFIC, INC.	","Daigger Scientific	"
"DAKOTA CONSULTING INCORPORATED	","Dakota Consulting	"
"DANYA INTERNATIONAL LLC	","Danya International	"
"DATA FACTS INC	","Data Facts	"
"DATA PAGES INCORPORATED	","Data Pages	"
"DATUM FILING SYSTEMS, INC.	","Datum Filing Systems	"
"DAVILA & ASSOCIATES INC	","Davila & Associates	"
"DEAF ACCESS SOLUTIONS, INC	","Deaf Access Solutions	"
"DEFENSE POINT SECURITY, LLC	","Defense Point Security	"
"DELANY, SIEGEL, ZORN & ASSOCIATES, INC.	","Delany, Siegel, Zorn & Associates	"
"DELITOR INC	","Delitor	"
"DELL FEDERAL SYSTEMS L.P.	",Dell Federal Systems
"DELL MARKETING L.P.	",Dell Marketing
"DELL MARKETING LIMITED PARTNERSHIP	",Dell Marketing
"DELOITTE & TOUCHE L.L.P.	",Deloitte & Touche
"DELOITTE & TOUCHE LLP	",Deloitte & Touche
"DELOITTE CONSULTING LLP	",Deloitte Consulting
"DELUXE DELIVERY SYSTEMS INC.	","Deluxe Delivery Systems	"
"DEMUS ENTERPRISE CORP.	","Demus Enterprise	"
"DENTRUST DENTAL INTERNATIONAL, INC.	","Dentrust Dental International	"
"DENVER HEALTH AND HOSPITALS AUTHORITY	","Denver Health and Hospitals Authority	"
"DEPARTMENT OF EMERGENCY SERVICES AND PUBLIC PROTECTION	","Department of Emergency Services and Public Protection	"
"DESIGNSMITH LTD	","Designsmith Ltd	"
"DEV TECHNOLOGY GROUP, INC.	","Dev Technology Group	"
"DEVA & ASSOCIATES, P.C.	","Deva & Associates, P.C.	"
"DIALTONESERVICES L.P.	","DialToneServices	"
"DIGITAL INTELLIGENCE, INC.	","Digital Intelligence	"
"DIGITAL RECEIVER TECHNOLOGY, INC.	","Digital Receiver Technology	"
"DIVERSE STAFFING SERVICES, INC.	","Diverse Staffing Services	"
"DKW COMMUNICATIONS, INC.	","DKW Communications	"
"DLT SOLUTIONS, LLC	","DLT Solutions	"
"DOCUMENT IMAGING DIMENSIONS	","Document Imaging Dimensions	"
"DOCUMENT IMAGING DIMENSIONS INC.	","Document Imaging Dimensions	"
"DOLLAR THRIFTY AUTOMOTIVE GROUP, INC.	","Dollar Thrifty Automotive Group	"
"DONOGHUE, JOHN M	",John M Donoghue
"DTC COMMUNICATIONS, INC.	","DTC Communications	"
"DTM CORPORATION	",DTM
"DUN & BRADSTREET, INC.	","Dun & Bradstreet	"
"EAGLE HILL CONSULTING, LLC	","Eagle Hill Consulting	"
"EASTERN CAROLINA VOCATIONAL CENTER INCORPORATED	","Eastern Carolina Vocational Center	"
"EATON CORPORATION	",Eaton
"ECLINICALWORKS, LLC	","eClinicalWorks	"
"ECLIPSE BUSINESS GROUP, INC.	","Eclipse Business Group	"
"ECOLAB INC	","Ecolab	"
"ECOLOGY MIR GROUP LLC	","Ecology Mir Group	"
"ECONOMIC SYSTEMS, INC.	","Economic Systems	"
"ECOVANTAGE ENERGY, INC.	","Ecovantage Energy	"
"ECS FEDERAL, LLC	","ECS Federal	"
"EDGE TECHNOLOGY DISTRIBUTORS, INC.	","Edge Technology Distributors	"
"ELECTRONIC DATA CARRIERS, INC.	","Electronic Data Carriers	"
"ELECTRONIC RISKS CONSULTANTS, INC	","Electronic Risks Consultants	"
"ELEVATION LIMITED	",Elevation
"ELITE SHOOTING SPORTS LLC	","Elite Shooting Sports	"
"ELLISON SYSTEMS INCORPORATED	","Ellison Systems	"
"EMCOR GOVERNMENT SERVICES, INC.	","EMCOR Government Services	"
"EMERGENT, LLC	","Emergent	"
"EMS SAFETY SERVICES INC	","EMS Safety Services	"
"EMTEC FEDERAL INCORPORATED	","EMTEC Federal	"
"ENFORCEMENT TECHNOLOGY GROUP INCORPORATED	","Enforcement Technology Group	"
"ENGEL BALLISTIC RESEARCH INC	","Engel Ballistic Research	"
"ENTCO GOVERNMENT SOFTWARE LLC	","Entco Government Software	"
"ENTECH SALES AND SERVICE, INC.	","Entech Sales and Service	"
"ENTERPRISE RESOURCE PLANNED SYSTEMS INTERNATIONAL, LLC	","Enterprise Resource Planned Systems International	"
"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.	","Enterprise Technology Solutions	"
"ENVIRONMENTAL QUALITY, TEXAS COMMISSION ON	",Texas Commission on Environmental Quality
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.	","Environmental Systems Research Institute	"
"ENVISAGE TECHNOLOGIES CORPORATION	",Envisage Technologies
"ENVISAGE TECHNOLOGIES, LLC	","Envisage Technologies	"
"ENVISION XPRESS, INC.	","Envision Xpress	"
"ENVISION, INC.	","Envision	"
"ERAD GROUP, INC.	","ERAD Group	"
"ERNST & YOUNG LLP	","Ernst & Young	"
"ERNST AND YOUNG LLP	",Ernst and Young
"ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC., THE	",The Escal Institute of Advanced Technologies
"ESCGOV	",ESCGOV
"EVACUSLED INC	","Evacusled	"
"EVIGILANT.COM INCORPORATED	","Evigilant.com	"
"EWA GOVERNMENT SYSTEMS, INC.	","EWA Government Systems	"
"EWING ELECTRONICS, INC.	","Ewing Electronics	"
"EXCELLA CONSULTING INCORPORATED	","Excella Consulting	"
"EXECUTIVE INFORMATION SYSTEMS,	","Executive Information Systems,	"
"EXECUTIVE INFORMATION SYSTEMS, LLC	","Executive Information Systems	"
"EXECUTIVE OFFICE OF THE STATE OF NORTH CAROLINA	","Executive office of The State of North Carolina	"
"EXPRESS ALLIANCE COURIER	","Express Alliance Courier	"
"EXXACT CORPORATION	",Exxact
"EZ PRINT SUPPLIES, INC.	","EZ Print Supplies	"
"F C I TECH INC.	","FCI Tech	"
"FAAC INCORPORATED	",FAAC
"FAMILY FIRST 5 INC.	","Family First 5	"
"FARBER SPECIALTY VEHICLES, INC	","Farber Specialty Vehicles	"
"FAX PLUS INCORPORATED	","Fax Plus	"
"FCN	",FCN
"FCN, INC.	",FCN
"FEDCAP REHABILITATION SERVICES, INC.	","Fedcap Rehabilitation Services	"
"FEDERAL CARTRIDGE COMPANY	","Federal Cartridge Company	"
"FEDERAL CONTRACTS CORP	","Federal Contracts 	"
"FEDERAL DEFENSE SOLUTIONS, INC.	","Federal Defense Solutions	"
"FEDERAL EXPRESS CORPORATION	",Federal Express
"FEDERAL FACILITATORS, LLC.	","Federal Facilitators	"
"FEDERAL HEARINGS AND APPEALS SERVICES, INC.	","Federal Hearings and Appeals Services	"
"FEDERAL LOCK AND SAFE, INCORPORATED	","Federal Lock and Safeorporated	"
"FEDERAL MANAGEMENT SYSTEMS, INC.	","Federal Management Systems	"
"FEDERAL PRISON INDUSTRIES INC	","Federal Prison Industries	"
"FEDERAL PRISON INDUSTRIES, INC	","Federal Prison Industries	"
"FEDERAL RESOURCES SUPPLY COMPANY	","Federal Resources Supply Company	"
"FEDRESULTS, INC.	","FedResults	"
"FEDSTORE CORPORATION	",FedStore
"FEENEY WIRELESS, LLC	","Feeney Wireless	"
"FERBAK, INC.	","Ferbak	"
"FILEONQ, INC.	",FileOnQ
"FIRE SAFETY SYSTEMS INC.	","Fire Safety Systems	"
"FIRELAKE CONSTRUCTION, INC.	","Firelake Construction	"
"FISHER SCIENTIFIC COMPANY L.L.C.	","Fisher Scientific Company	"
"FISKARS BRANDS, INC.	","Fiskars Brands	"
"FITZGERALD, BEN REAL ESTATE SE	",Ben Fitzgerald Real Estate
"FLEET MANAGEMENT SOLUTIONS, INC.	","Fleet Management Solutions	"
"FLYTECOMM, INC.	","Flytecomm	"
"FN AMERICA, LLC	","FN America	"
"FOCUS CAMERA LLC	","Focus Camera	"
"FOLSOM SHOOTING CLUB INC	","Folsom Shooting Club	"
"FORBES, INC., C.	","Forbes, C.	"
"FORFEITURE SUPPORT ASSOCIATES, LLC	","Forfeiture Support Associates	"
"FOSTER & FREEMAN USA INC.	","Foster & Freeman USA	"
"FOSTER & LEVESQUE LLC	","Foster & Levesque	"
"FOSTER PRODUCTS, INC.	","Foster Products	"
"FOUR POINTS TECHNOLOGY, L.L.C.	","Four Points Technology,	"
"FOX RIVER GRAPHICS	","Fox River Graphics	"
"FPMI SOLUTIONS INCORPORATED	","FPMI Solutions	"
"FRANKLIN COVEY CLIENT SALES INC	","Franklin Covey Client Sales	"
"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED	","Franklin Young Internationa	"
"FREEMAN EXPOSITIONS, INC.	","Freeman Expositions	"
"FRONTEO GOVERNMENT SERVICES, INC.	","Fronteo Government Services	"
