"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"10 MCGREGOR RANGE ROAD CHAPARRAL NM 88081","OTROPNM","OTERO COUNTY PRISON FACILITY","10 MCGREGOR RANGE ROAD","CHAPARRAL","DONA ANA","NM","88081","10","ELP","EPC","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","20.09.2017","30.11.2005","0","0","80","0","0","15","53","141","36","6","0","35","0","0","60","145","173","170","106","83","30","59","0","0","31","23","1","","126","1247","2","4","0","32","2","0","0","1","0","0","0","0","63","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","M&TC","M&TC","COUNTY","24.05.2010","","","b)(4)","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","Local Standards","","Annual","Regular","NDS","No","Acceptable","Acceptable","09.02.2017","Regular","NDS","No","Acceptable","16.11.2012","","NDS","Regular","No","Acceptable","","","","","Acceptable","Acceptable","Acceptable","","No","YES","NO","NO","No","","0","400","0.00%","0","262","72.00%","29252","200","Chaparral Dr","88081","El Paso","TX",32.016469,-106.41112,0.407,"","302","street",NA,NA
"10 NEW ENGLAND EXECUTIVE PARK BURLINGTON MA 1803","BOSHOLD","BOSTON HOLD ROOM","10 NEW ENGLAND EXECUTIVE PARK","BURLINGTON","MIDDLESEX","MA","1803","1","BOS","BOS","Other","HOLD","Yes","Male","A, B, C, D","AS NEEDED","","0","23.07.2017","23.08.2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","6","53","38","61","6","49","35","54","5","10","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","FEDERAL","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","39","11.00%","54","3","New England Executive Park","01803","Burlington","MA",42.48526,-71.211469,0.608,"","10","range",NA,NA
"100 29TH STREET BROOKLYN NY 11232","BOPBRO","BROOKLYN MDC","100 29TH STREET","BROOKLYN","KINGS","NY","11232","2","NYC","VRK","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","14.10.2007","14.09.2001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","29th St","11232","Brooklyn","NY",40.660206,-74.003867,0.871,"","100","range",NA,NA
"100 AIRPORT RD. SPUR TX 79370","DICKETX","DICKENS COUNTY DETENTION","100 AIRPORT RD.","SPUR","DICKENS","TX","79370","5","DAL","DAL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","28.03.2007","06.07.2004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","GEO","","","","","b)(4)","","NOT INSPECTED","DMCP","Over 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Airport Rd","79355",NA,NA,33.238976,-102.835787,0.61,"","1000","street",NA,NA
"100 BILTON ROAD SOMERS CT 6071","CTOSBCI","OSBORN CORRECTIONAL INSTITUTE","100 BILTON ROAD","SOMERS","TOLLAND","CT","6071","2","BOS","HAR","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","29.01.2007","01.06.2000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","","","","","","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Superior","Acceptable","25.10.2007","Regular","NDS","No","Superior","01.04.2006","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Bilton Rd","06071","Somers","CT",42.033012,-72.498933,0.552,"","100","range",NA,NA
"100 CARMAN AVENUE EAST MEADOW NY 11554","NASSANY","NASSAU COUNTY CORRECTIONAL CENTER","100 CARMAN AVENUE","EAST MEADOW","NASSAU","NY","11554","2","NYC","VRK","IGSA","IGSA","Yes","Female/Male","B, C, D","AS NEEDED","","0","16.06.2017","26.04.2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","32","70","0","1","31","69","0","1","36","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","2","1.00%","4","3","Carman Ave","11554","East Meadow","NY",40.729607,-73.555117,0.945,"","100","range",NA,NA
"100 CENTER DRIVE RIVERHEAD NY 11901","SUFFONY","SUFFOLK COUNTY","100 CENTER DRIVE","RIVERHEAD","SUFFOLK","NY","11901","2","NYC","NYC","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","3","04.11.2017","21.05.2007","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","7","400","2.00%","194","0","0.00%","0","0","Center Dr","11901","Riverhead","NY",40.970376,-72.70984,0.845,"","98","street",NA,NA
"100 E. 6TH ST RIO GRANDE CITY TX 78582","STARRTX","STARR COUNTY JAIL","100 E. 6TH ST","RIO GRANDE CITY","STARR","TX","78582","5","SNA","PIC","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","29.11.2004","06.05.1987","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","E 6th St","78582","Rio Grande City","TX",26.383236,-98.819217,0.911,"","100","range",NA,NA
"100 EAST 2ND STREET MONROE MI 48161","MNROEMI","MONROE COUNTY DETENTION MAIN","100 EAST 2ND STREET","MONROE","MONROE","MI","48161","6","DET","DET","IGSA","IGSA","Yes","Male","B, C, D","AS NEEDED","","1","13.09.2017","08.11.2013","1","1","0","0","0","0","69","84","82","88","69","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","3","1","4","9","18","0","1","3","8","0","1","2","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","YES","COUNTY/ADVANCE CORRECTIONAL CARE","COUNTY (SHERIFF)","","01.07.2008","","","$74.96","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Acceptable","At-Risk","23.02.2011","Regular","NDS","No","Superior","10.03.2010","","N/A","N/A","No","","","","","","","Acceptable","Superior","","Yes","NO","NO","NO","No","","26","400","7.00%","297","5","1.00%","5","1","E 2nd St","48161","Monroe","MI",41.914269,-83.397637,0.874,"","100","range",NA,NA
"100 EAST CARTER DRIVE HOLBROOK AZ 86025","NAVSOAZ","NAVAJO COUNTY SHERIFF","100 EAST CARTER DRIVE","HOLBROOK","NAVAJO","AZ","86025","9","PHO","PHO","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","29.08.2013","28.01.2000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","14.04.1999","","","$59.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Under 72","NDS","","Annual","ORSA","NDS","No","Acceptable","","08.09.2017","ORSA","NDS","No","Acceptable","11.07.2015","","NDS","ORSA","No","Acceptable","","Acceptable","Acceptable","Acceptable","","Acceptable","Superior","2007 DEFICIENT","Yes","NO","NO","NO","No","NONE","0","400","0.00%","0","0","0.00%","0","0","Grider Rd","86004",NA,NA,35.264055,-111.490153,0.302,"","8901","street",NA,NA
"100 HIGHWAY TERRACE LEAVENWORTH KS 66045","CCALEKS","CORRECTIONAL CORPORATION OF AMERICA (JEFFERSON, OK","100 HIGHWAY TERRACE","LEAVENWORTH","DOUGLAS","KS","66045","10","CHI","KAN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","27.11.2003","16.05.1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","CCA","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Leavenworth St","66012",NA,NA,39.058375,-94.900653,0.44,"","13800","street",NA,NA
"100 JUSTICE CENTER ROAD CANON CITY CO 81212","FREMOCO","FREMONT COUNTY JAIL (COLORADO)","100 JUSTICE CENTER ROAD","CANON CITY","FREMONT","CO","81212","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","23.04.2014","24.10.1990","0","0","0","0","0","1","1","2","2","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NO","","COUNTY (SHERIFF)","COUNTY","17.07.1998","","","$50.00","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Under 72","Minimum Service Standards","","N/A","ORSA","NDS","No","Acceptable","Not Rated","07.08.2013","Regular","NDS","No","Superior","22.09.2010","","N/A","N/A","No","","","","","Acceptable","","","Superior","2007 and 2008 DEFICIENT","Yes","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Justice Center Rd","81212","Canon City","CO",38.447049,-105.18323,0.837,"","102","street",NA,NA
"100 LAUREL AVENUE BAYAMON PR 956","BAYAMPR","BAYAMON HOSPITAL","100 LAUREL AVENUE","BAYAMON","SANTA JUANITA","PR","956","1","MIA","","Other","HOSPITAL","No","Female/Male","B, C, D","AS NEEDED","","0","30.08.2017","27.03.2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","","","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","2","1.00%","2","1","Laurel Ave","20707","Laurel","MD",39.099757,-76.845002,0.556,"","100","range",NA,NA
"100 MIDLAND AVENUE GLENWOOD SPRINGS CO 81601","GSCHOLD","GLENWOOD SPRINGS HOLDROOM","100 MIDLAND AVENUE","GLENWOOD SPRINGS","GLENWOOD SPRINGS","CO","81601","10","DEN","DEN","Other","HOLD","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","13.06.2013","22.02.2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","15","85","80","96","15","85","74","67","12","8","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Midland Ave","81601","Glenwood Springs","CO",39.548359,-107.333515,0.758,"","600","street",NA,NA
