award_id_piid,current_total_value_of_award,potential_total_value_of_award,recipient_name,recipient_parent_name,recipient_congressional_district,primary_place_of_performance_state_name,award_type,product_or_service_code_description,naics_description,domestic_or_foreign_entity,alaskan_native_owned_corporation_or_firm,american_indian_owned_business,indian_tribe_federally_recognized,native_hawaiian_owned_business,tribally_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,joint_venture_women_owned_small_business,joint_venture_economic_disadvantaged_women_owned_small_bus,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,,financial_year,veteran_owned_business,service_disabled_veteran_owned_business
HSCEDM15P00066,405,765,"LATAH, COUNTY OF",COUNTY OF LATAH,,IDAHO,PURCHASE ORDER,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEMS16J00025,442.6,442.6,FEDERAL CARTRIDGE COMPANY,FEDERAL CARTRIDGE COMPANY,6,DISTRICT OF COLUMBIA,DELIVERY ORDER,"AMMUNITION, THROUGH 30MM",AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,f,f
HSCETE17J00284,451.24,451.24,DELL FEDERAL SYSTEMS L.P.,DENALI HOLDING INC,31,TEXAS,BPA CALL,INFORMATION TECHNOLOGY SOFTWARE,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEMS17J00053,460.64,460.64,OLIN CORPORATION,OLIN CORPORATION,12,ILLINOIS,DELIVERY ORDER,"AMMUNITION, THROUGH 30MM",AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEDM16P00016,491.76,491.76,MANAGEMENT & TRAINING CORPORATION,MANAGEMENT & TRAINING CORPORATION,2,UTAH,PURCHASE ORDER,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
70CMSD18P00000087,525,2625,CRIME INFORMATION CENTER ARKANSAS,STATE OF ARKANSAS,2,ARKANSAS,PURCHASE ORDER,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
70CMSD18FR0000007,579.3,579.3,"ANACAPA MICRO PRODUCTS, INC.",ANACAPA MICRO PRODUCTS INC.,26,MINNESOTA,DELIVERY ORDER,INFORMATION TECHNOLOGY COMPONENTS,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
70CDCR18FR0000045,600,600,"GEO GROUP INC., THE",THE GEO GROUP INC,22,FLORIDA,DELIVERY ORDER,HOUSEKEEPING- GUARD,FACILITIES SUPPORT SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCETE12J00179,753.16,753.16,DELL MARKETING LIMITED PARTNERSHIP,DENALI HOLDING INC,31,FLORIDA,BPA CALL,INFORMATION TECHNOLOGY SOFTWARE,ELECTRONIC COMPUTER MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
70CDCR18P00000084,757.3,757.3,"CORNELL COMPANIES, INC.",THE GEO GROUP INC,22,TEXAS,PURCHASE ORDER,HOUSEKEEPING- GUARD,SECURITY GUARDS AND PATROL SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEDM17P00053,760,760,"LINCOLN MOVING & STORAGE OF BUFFALO, INC.",LINCOLN SECURITIES CORP.,26,NEW YORK,PURCHASE ORDER,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT,USED HOUSEHOLD AND OFFICE GOODS MOVING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEDM17P00113,856.4,856.4,SETCAN CORPORATION,SETCAN CORPORATION,,TEXAS,PURCHASE ORDER,TRAINING AIDS,ALL OTHER PERSONAL SERVICES,FOREIGN-OWNED BUSINESS INCORPORATED IN THE U.S.,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
55,882.63,882.63,"EMCOR GOVERNMENT SERVICES, INC.",EMCOR GROUP  INC.,8,DISTRICT OF COLUMBIA,BPA CALL,MAINTENANCE OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,FACILITIES SUPPORT SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEMS16J00039,985.24,985.24,AMMUNITION ACCESSORIES INC.,ALLIANT TECHSYSTEMS INC.,1,PENNSYLVANIA,DELIVERY ORDER,"AMMUNITION, THROUGH 30MM",SMALL ARMS AMMUNITION MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,f,f
HSCEMD16P00069,1000,1000,"DONOGHUE, JOHN M",DONOGHUE  JOHN M,18,NEW YORK,PURCHASE ORDER,SUPPORT- PROFESSIONAL: LEGAL,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEDM16P00007,1000,1000,REPUBLIC PROPERTIES CORP,REPUBLIC PROPERTIES CORPORATION,0,DISTRICT OF COLUMBIA,PURCHASE ORDER,"ELECTRICAL AND ELECTRONIC ASSEMBLIES, BOARDS, CARDS, AND ASSOCIATED HARDWARE",OTHER ACTIVITIES RELATED TO REAL ESTATE,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,f,f
HSCETE16J00433,1023.7,1023.7,"PANAMERICA COMPUTERS, INC.",PANAMERICA COMPUTERS  INC.,6,DISTRICT OF COLUMBIA,DELIVERY ORDER,INFORMATION TECHNOLOGY COMPONENTS,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,t,t,t,f,f,t,f,f,f,t,f,f,,2016,f,f
70CMSD18FR0000089,1200,6000,JTF BUSINESS SYSTEMS INC,JTF BUSINESS SYSTEMS INC,8,VIRGINIA,DELIVERY ORDER,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",COMMERCIAL SCREEN PRINTING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEMS17F00005,1247,1247,WHITAKER BROTHERS BUSINESS MACHINES INC,WHITAKER BROTHERS BUSINESS MACHINES INC,8,ILLINOIS,DELIVERY ORDER,OFFICE DEVICES AND ACCESSORIES,CARBON PAPER AND INKED RIBBON MANUFACTURING,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,t,f
HSCECR16P00008,1261.09,1261.09,"SANTA CLARA, COUNTY OF",COUNTY OF SANTA CLARA,19,CALIFORNIA,PURCHASE ORDER,OFFICE INFORMATION SYSTEM EQUIPMENT,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCETE09J00447,1305.24,1305.24,SPRINT COMMUNICATIONS COMPANY L.P.,SPRINT COMMUNICATIONS COMPANY L.P.,11,TEXAS,BPA CALL,"HARDWARE, COMMERCIAL",WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE),U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEMD17F00230,1345.32,6726.6,XEROX CORPORATION,XEROX CORPORATION,11,VIRGINIA,DELIVERY ORDER,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEDM17P00103,1497.16,1497.16,"BRANDED GLOBAL PARTNERS, LLC",BRANDED GLOBAL PARTNERS LLC,43,CALIFORNIA,PURCHASE ORDER,"UNDERWEAR AND NIGHTWEAR, MEN'S",CUT AND SEW APPAREL CONTRACTORS,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,t,f
HSCEDM16P00089,1530.48,1530.48,"CANAL ALARM DEVICES, INC.",CANAL ALARM DEVICES  INC.,10,NEW YORK,PURCHASE ORDER,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,AUDIO AND VIDEO EQUIPMENT MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,f,f
HSCEDM16P00109,1537.99,1537.99,"PROFESSIONALS, (THE), LLC","PROFESSIONALS, (THE), LLC",4,UTAH,PURCHASE ORDER,"CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",WIRED TELECOMMUNICATIONS CARRIERS,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCETE17J00518,1580,1580,"AKIRA TECHNOLOGIES, INC",AKIRA TECHNOLOGIES  INC,0,DISTRICT OF COLUMBIA,DELIVERY ORDER,INFORMATION TECHNOLOGY COMPONENTS,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,,2017,f,f
HSCEMS15J00058,1646.4,1646.4,ATK SPORTING GROUP LLC,VISTA OUTDOOR SALES LLC,6,MINNESOTA,DELIVERY ORDER,"AMMUNITION, THROUGH 30MM",SMALL ARMS AMMUNITION MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,f,f
HSCEDM17F00096,1674.72,1674.72,SOUTHERN POLICE EQUIPMENT COMPANY INCORPORATED,SOUTHERN POLICE EQUIPMENT COMPANY  INC.,7,VIRGINIA,DELIVERY ORDER,TRAINING AIDS,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEOP06F00739,1760,1760,TERMINIX INTERNATIONAL COMPANY,TERMINIX INTERNATIONAL COMPANY LIMITED PARTNERSHIP  THE,8,DISTRICT OF COLUMBIA,DELIVERY ORDER,MISCELLANEOUS ITEMS,LANDSCAPING SERVICES,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
70CMSW18FC0000006,1776.62,1776.62,PRICE MODERN LLC,PRICE MODERN LLC,7,CALIFORNIA,BPA CALL,OFFICE FURNITURE,WOOD OFFICE FURNITURE MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEMS16J00060,1793.6,1793.6,"AEEC, LLC",AEEC  LLC,11,VIRGINIA,BPA CALL,IT AND TELECOM- SYSTEMS DEVELOPMENT,COMPUTER SYSTEMS DESIGN SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,t,f,f,f,f,t,t,f,f,f,f,f,,2017,f,f
HSCEMD16P00085,1800,1800,AURORA SPORTSMENS CLUB,AURORA SPORTSMENS CLUB,16,ILLINOIS,PURCHASE ORDER,LEASE/RENTAL OF OTHER EDUCATIONAL BUILDINGS,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEMS16P00035,1800,9000,"ENVIRONMENTAL QUALITY, TEXAS COMMISSION ON",STATE OF TEXAS,10,TEXAS,PURCHASE ORDER,UTILITIES- WATER,SEWAGE TREATMENT FACILITIES,OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEDM16F00060,1885.5,1885.5,"UNIFORMS MANUFACTURING, INC.",UNIFORMS MANUFACTURING  INC.,6,ARIZONA,DELIVERY ORDER,TEXTILE FABRICS,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,f,f
70CMSW18FR0000027,1897,1897,SECURITY ENGINEERED MCHY COMPANY,SECURITY ENGINEERED MACHINERY CO INC,2,GEORGIA,DELIVERY ORDER,MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT,CARBON PAPER AND INKED RIBBON MANUFACTURING,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,t,f
HSCETE16J00308,1940,1940,BLUE TECH INC.,BLUE TECH INC.,53,FLORIDA,DELIVERY ORDER,INFORMATION TECHNOLOGY COMPONENTS,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,t,t,t,f,f,t,f,f,f,f,f,t,,2016,f,f
HSCEDM17P00012,2000,2000,TEXAS WORKFORCE COMMISSION,STATE OF TEXAS,25,TEXAS,PURCHASE ORDER,IT AND TELECOM- WEB-BASED SUBSCRIPTION,OTHER COMPUTER RELATED SERVICES,OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEDM17F00016,2066.4,2066.4,NOBLE SALES CO INC,NOBLE SALES CO.  INC.,9,MASSACHUSETTS,BPA CALL,CLEANING AND POLISHING COMPOUNDS AND PREPARATIONS,HARDWARE STORES,U.S. OWNED BUSINESS,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEDM17F00092,2076.97,2076.97,BOOFIGHTER LLC,BOOFIGHTER LLC,1,OREGON,DELIVERY ORDER,ATHLETIC AND SPORTING EQUIPMENT,SPORTING AND ATHLETIC GOODS MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEDM16F00063,2086.14,2086.14,"CAPRICE ELECTRONICS, INC.",CAPRICE ELECTRONICS  INC.,7,NEW YORK,DELIVERY ORDER,OFFICE SUPPLIES,"PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING",U.S. OWNED BUSINESS,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,,2016,f,f
HSCETE16P00046,2141.81,2141.81,DELITOR INC,DELITOR INC,9,NORTH CAROLINA,PURCHASE ORDER,INFORMATION TECHNOLOGY COMPONENTS,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,t,t
HSCETE17J00532,2190,2190,"C & C INTERNATIONAL COMPUTERS & CONSULTANTS, INC.",C & C INTERNATIONAL COMPUTERS & CONSULTANTS  INC,23,DISTRICT OF COLUMBIA,DELIVERY ORDER,INFORMATION TECHNOLOGY COMPONENTS,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,,2017,f,f
HSCETE16J00210,2348.84,2348.84,"TROFHOLZ TECHNOLOGIES, INC.",TROFHOLZ TECHNOLOGIES  INC.,4,CALIFORNIA,DELIVERY ORDER,INFORMATION TECHNOLOGY COMPONENTS,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,t,t,t,f,f,f,f,f,f,f,f,f,,2016,t,t
HSCEDM16F00013,2401,2401,"ELECTRONIC DATA CARRIERS, INC.",ELECTRONIC DATA CARRIERS  INC.,2,TEXAS,DELIVERY ORDER,TRANSPORTATION/TRAVEL/RELOCATION- RELOCATION: RELOCATION,USED HOUSEHOLD AND OFFICE GOODS MOVING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,t,f
HSCEMD16F00135,2424,9696,"RICOH USA, INC.",RICOH COMPANY LTD.,6,PENNSYLVANIA,DELIVERY ORDER,MAINT/REPAIR/REBUILD OF EQUIPMENT- OFFICE MACHINES/TEXT PROCESSING SYS/VISIBLE RECORD EQUIPMENT,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEDM17F00049,2426.64,2426.64,"GALLS, INC","GALLS, LLC.",6,PENNSYLVANIA,DELIVERY ORDER,INDIVIDUAL EQUIPMENT,ALL OTHER LEATHER GOOD MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
70CMSD18FR0000003,2434,2434,"KYOCERA DOCUMENT SOLUTIONS AMERICA, INC.",KYOCERA CORPORATION,11,NEW JERSEY,DELIVERY ORDER,"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT",PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
70CDCR18P00000008,2500,5000,"COLMA, CITY OF",CITY OF COLMA,14,CALIFORNIA,PURCHASE ORDER,LEASE/RENTAL OF AMMUNITION FACILITIES,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES,OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEDM16P00116,2510.8,2510.8,"A1 TECH PAL, INC",A1 TECH PAL  INC,8,NEW YORK,PURCHASE ORDER,BAGS AND SACKS,HOME FURNISHING MERCHANT WHOLESALERS,U.S. OWNED BUSINESS,f,f,f,f,f,t,t,t,f,f,t,f,f,f,f,f,t,,2016,f,f
70CMSD18FR0000100,2548.92,2548.92,"FCN, INC.",FCN INC.,8,PENNSYLVANIA,DELIVERY ORDER,INFORMATION TECHNOLOGY COMPONENTS,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEDM16F00062,2562,2562,"SEVA TECHNICAL SERVICES, INC.",SEVA TECHNICAL SERVICES  INC.,2,VIRGINIA,DELIVERY ORDER,ATHLETIC AND SPORTING EQUIPMENT,INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,t,t
HSCEMR17P00012,2568.8,2568.8,"MARQUARDT, JENNIFER",MARQUARDT  JENNIFER,7,TEXAS,PURCHASE ORDER,SUPPORT- ADMINISTRATIVE: COURT REPORTING,COURT REPORTING AND STENOTYPE SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEMD17F00107,2582.4,6456,"KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC.",KONICA MINOLTA HOLDINGS INC.,11,VIRGINIA,DELIVERY ORDER,"LEASE OR RENTAL OF EQUIPMENT- OFFICE MACHINES, TEXT PROCESSING SYSTEMS, AND VISIBLE RECORD EQUIPMENT",PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEMS17F00062,2598.75,2598.75,CHIEF SUPPLY CORPORATION,CHIEF SUPPLY CORPORATION,12,NORTH CAROLINA,DELIVERY ORDER,SAFETY AND RESCUE EQUIPMENT,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEMS15J00076,2610.32,2610.32,"MYTHICS, INC",MYTHICS  INC.,2,DISTRICT OF COLUMBIA,BPA CALL,INFORMATION TECHNOLOGY SOFTWARE,SOFTWARE PUBLISHERS,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEDM16P00094,2651.22,2651.22,"ATLANTIC PETROLEUM & MINERAL RESOURCES, INC",ATLANTIC PETROLEUM & MINERAL RESOURCES  INC,18,TEXAS,PURCHASE ORDER,FUEL OILS,INDUSTRIAL GAS MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,,2017,t,t
70CDCR18FR0000031,2657.53,2657.53,"GARRETT ELECTRONICS, INC.",GARRETT ELECTRONICS INC.,32,TEXAS,DELIVERY ORDER,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEMD16F00060,2658,2658,LEXMARK INTERNATIONAL INC,LEXMARK INTERNATIONAL  INC.,6,KENTUCKY,BPA CALL,"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT",PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,f,f
HSCETE16P00023,2680.36,2680.36,"THUNDERCAT TECHNOLOGY, LLC",THUNDERCAT TECHNOLOGY  LLC,11,VIRGINIA,PURCHASE ORDER,INFORMATION TECHNOLOGY SOFTWARE,COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2016,t,t
HSCEMS17J00044,2717.28,2717.28,"RUAG AMMOTEC USA, INC.",RUAG AMMOTEC USA INC.,14,FLORIDA,DELIVERY ORDER,"AMMUNITION, THROUGH 30MM",SMALL ARMS AMMUNITION MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
