award_id_piid	current_total_value_of_award	potential_total_value_of_award	recipient_name	recipient_parent_name	recipient_congressional_district	primary_place_of_performance_state_name	award_type	product_or_service_code_description	naics_description	domestic_or_foreign_entity	alaskan_native_owned_corporation_or_firm	american_indian_owned_business	indian_tribe_federally_recognized	native_hawaiian_owned_business	tribally_owned_business	veteran_owned_business	service_disabled_veteran_owned_business	woman_owned_business	women_owned_small_business	economically_disadvantaged_women_owned_small_business	joint_venture_women_owned_small_business	joint_venture_economic_disadvantaged_women_owned_small_bus	minority_owned_business	subcontinent_asian_asian_indian_american_owned_business	asian_pacific_american_owned_business	black_american_owned_business	hispanic_american_owned_business	native_american_owned_business	other_minority_owned_business	financial_year
HSCEDM15P00066	405	765	"LATAH, COUNTY OF"	COUNTY OF LATAH		IDAHO	PURCHASE ORDER	HOUSEKEEPING- GUARD	SECURITY GUARDS AND PATROL SERVICES	OTHER U.S. ENTITY (E.G. GOVERNMENT)	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEDM15P00066	405	765	"LATAH, COUNTY OF"	COUNTY OF LATAH		IDAHO	PURCHASE ORDER	HOUSEKEEPING- GUARD	SECURITY GUARDS AND PATROL SERVICES	OTHER U.S. ENTITY (E.G. GOVERNMENT)	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCEDM15P00066	405	765	"LATAH, COUNTY OF"	COUNTY OF LATAH		IDAHO	PURCHASE ORDER	HOUSEKEEPING- GUARD	SECURITY GUARDS AND PATROL SERVICES	OTHER U.S. ENTITY (E.G. GOVERNMENT)	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2015
HSCEMS16J00025	442.6	442.6	FEDERAL CARTRIDGE COMPANY	FEDERAL CARTRIDGE COMPANY	6	DISTRICT OF COLUMBIA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE17J00284	451.24	451.24	DELL FEDERAL SYSTEMS L.P.	DENALI HOLDING INC	31	TEXAS	BPA CALL	INFORMATION TECHNOLOGY SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMS17J00053	460.64	460.64	OLIN CORPORATION	OLIN CORPORATION	12	ILLINOIS	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00061	460.64	460.64	OLIN CORPORATION	OLIN CORPORATION	12	ILLINOIS	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00053	460.64	460.64	OLIN CORPORATION	OLIN CORPORATION	12	ILLINOIS	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMS17J00061	460.64	460.64	OLIN CORPORATION	OLIN CORPORATION	12	ILLINOIS	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE16J00533	475.08	475.08	DELL FEDERAL SYSTEMS L.P.	DENALI HOLDING INC	31	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE16J00533	475.08	475.08	DELL FEDERAL SYSTEMS L.P.	DENALI HOLDING INC	31	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCEDM16P00016	491.76	491.76	MANAGEMENT & TRAINING CORPORATION	MANAGEMENT & TRAINING CORPORATION	2	UTAH	PURCHASE ORDER	HOUSEKEEPING- GUARD	SECURITY GUARDS AND PATROL SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEDM16P00016	491.76	491.76	MANAGEMENT & TRAINING CORPORATION	MANAGEMENT & TRAINING CORPORATION	2	UTAH	PURCHASE ORDER	HOUSEKEEPING- GUARD	SECURITY GUARDS AND PATROL SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
70CMSD18P00000087	525	2625	CRIME INFORMATION CENTER ARKANSAS	STATE OF ARKANSAS	2	ARKANSAS	PURCHASE ORDER	SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL	"DATA PROCESSING, HOSTING, AND RELATED SERVICES"	OTHER U.S. ENTITY (E.G. GOVERNMENT)	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00093	533.75	533.75	OLIN CORPORATION	OLIN CORPORATION	12	NEW MEXICO	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE14J00283	538.25	538.25	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE14J00283	538.25	538.25	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	DISTRICT OF COLUMBIA	BPA CALL	ADP INPUT/OUTPUT AND STORAGE DEVICES	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2014
70CMSD18FR0000007	579.3	579.3	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	MINNESOTA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETE13J00014	599.7	599.7	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
70CDCR18FR0000045	600	600	"GEO GROUP INC., THE"	THE GEO GROUP INC	22	FLORIDA	DELIVERY ORDER	HOUSEKEEPING- GUARD	FACILITIES SUPPORT SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEDM17J00018	600	600	"GEO GROUP INC., THE"	THE GEO GROUP INC	22	FLORIDA	DELIVERY ORDER	HOUSEKEEPING- GUARD	FACILITIES SUPPORT SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE15J00365	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	NEW YORK	BPA CALL	"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL"	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00369	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	NEW YORK	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00383	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	PENNSYLVANIA	BPA CALL	"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL"	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00388	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	NEW JERSEY	BPA CALL	"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL"	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00392	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	WASHINGTON	BPA CALL	"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL"	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00395	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	HAWAII	BPA CALL	MINI AND MICRO COMPUTER CONTROL DEVICES	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00443	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	CALIFORNIA	BPA CALL	"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL"	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00450	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00478	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00543	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00552	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00572	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00593	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	NEW YORK	BPA CALL	"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL"	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00647	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	NORTH CAROLINA	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE15J00676	603.74	603.74	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE17J00280	606.18	606.18	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	TEXAS	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE12J00060	644.53	644.53	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
70CDCR18P00000085	655.1	655.1	MANAGEMENT & TRAINING CORPORATION	MANAGEMENT & TRAINING CORPORATION	2	TEXAS	PURCHASE ORDER	HOUSEKEEPING- GUARD	SECURITY GUARDS AND PATROL SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETE16J00135	660.18	660.18	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	ARIZONA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2016
HSCEMS17J00118	667.14	667.14	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	WEST VIRGINIA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00118	667.14	667.14	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	WEST VIRGINIA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMS17J00078	673.48	673.48	OLIN CORPORATION	OLIN CORPORATION	12	ILLINOIS	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00078	673.48	673.48	OLIN CORPORATION	OLIN CORPORATION	12	ILLINOIS	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE16J00030	692.04	692.04	DELL FEDERAL SYSTEMS L.P.	DENALI HOLDING INC	31	TEXAS	BPA CALL	INFORMATION TECHNOLOGY SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE14J00219	693.5	693.5	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	4	TEXAS	BPA CALL	INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE15J00578	693.5	693.5	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	MARYLAND	BPA CALL	ADP SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2015
HSCETE14J00219	693.5	693.5	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	TEXAS	BPA CALL	ADP INPUT/OUTPUT AND STORAGE DEVICES	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2014
HSCETE16J00021	710.24	710.24	"NET DIRECT SYSTEMS, LLC"	NET DIRECT SYSTEMS  LLC	2	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	t	f	f	f	f	f	f	f	f	f	f	f	2016
HSCETE17J00496	717.14	717.14	"ANACAPA MICRO PRODUCTS, INC."	ANACAPA MICRO PRODUCTS INC.	26	CALIFORNIA	DELIVERY ORDER	INFORMATION TECHNOLOGY COMPONENTS	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE12J00179	753.16	753.16	DELL MARKETING LIMITED PARTNERSHIP	DENALI HOLDING INC	31	FLORIDA	BPA CALL	INFORMATION TECHNOLOGY SOFTWARE	ELECTRONIC COMPUTER MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCETE12J00403	753.16	753.16	DELL MARKETING LIMITED PARTNERSHIP	DENALI HOLDING INC	31	DISTRICT OF COLUMBIA	BPA CALL	INFORMATION TECHNOLOGY SUPPORT EQUIPMENT	ELECTRONIC COMPUTER MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00045	754.04	754.04	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	MINNESOTA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00150	754.04	754.04	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	MINNESOTA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEMS17J00045	754.04	754.04	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	MINNESOTA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCEMS17J00150	754.04	754.04	VISTA OUTDOOR SALES LLC	VISTA OUTDOOR SALES LLC	6	MINNESOTA	DELIVERY ORDER	"AMMUNITION, THROUGH 30MM"	SMALL ARMS AMMUNITION MANUFACTURING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
70CDCR18P00000084	757.3	757.3	"CORNELL COMPANIES, INC."	THE GEO GROUP INC	22	TEXAS	PURCHASE ORDER	HOUSEKEEPING- GUARD	SECURITY GUARDS AND PATROL SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2018
HSCEDM17P00053	760	760	"LINCOLN MOVING & STORAGE OF BUFFALO, INC."	LINCOLN SECURITIES CORP.	26	NEW YORK	PURCHASE ORDER	TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT	USED HOUSEHOLD AND OFFICE GOODS MOVING	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE17J00176	805.65	805.65	DELL FEDERAL SYSTEMS L.P.	DENALI HOLDING INC	31	OKLAHOMA	BPA CALL	INFORMATION TECHNOLOGY SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
HSCETE17J00175	805.65	805.65	DELL FEDERAL SYSTEMS L.P.	DENALI HOLDING INC	31	TEXAS	BPA CALL	INFORMATION TECHNOLOGY SOFTWARE	OTHER COMPUTER RELATED SERVICES	U.S. OWNED BUSINESS	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	2017
