,3yo or older Source,Recent Source,"Type (Current Crisis, General)",Latitude,Longitude,Name,City,State,Country,Address,MachineMatchAddress,Phone,Email,Twitter,Website,Owner_Type,Owner_Contact,Sources,Notes,
,2014 Washington Post,2018-06-29 Houston Chronicle,Current Crisis,30.229527,-97.699944,Texas Civil Rights Project,Austin,Texas,United States,"1405 Montopolis Drive, Austin, Texas 78741",,(512) 474-5073,info@texascivilrightsproject.org,https://twitter.com/TXCivilRights,https://texascivilrightsproject.org/,,,,,
,2003 National Catholic Reporter (newspaper),2017-10-20 Mother Jones,Current Crisis,32.710913,-117.143282,Border Angels,San Diego,California,United States,"2258 Island Avenue, San Diego, CA 92102",,(619) 269-7865,info@borderangels.org,https://twitter.com/border_angels,https://www.borderangels.org/,,,,,
,2014-12-02 RAICES Steps Up Immigration Information,2018-07-11 RAICES Offers to Pay Bonds for All Immigrant Women Separated from Their Children,Current Crisis,29.43816,-98.503058,RAICES,San Antonio,Texas,United States,"1305 N. Flores Street, San Antonio, TX 78212",,(210) 222-0964,hannah.zimmerman@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,,,,,
,2015-04-03 Border Violations,2018-19-06 Fundraiser For Migrant Families Exceeds $3M For Austin Nonprofit,Current Crisis,30.228468,-97.745447,RAICES,Austin,Texas,United States,"2800 IH-35 South, Suite 215, Austin, TX 78704",,(512) 994-2199,aminnaar@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,,,,,
,2012-08-17 Catholic Charities struggling to help young immigrants,2018-06-20 RAICES Texas: What to know about the nonprofit working to reunite separated families,Current Crisis,27.793437,-97.402124,RAICES,Corpus Christi,Texas,United States,"403 Waco St., Corpus Christi, TX 78401",,(361) 693-5838,diana.tafur@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,,,,,
,2012-11-30 Young Immigrants Say It’s Obama’s Time to Act,"2018-06-28 United We Dream holds protest at Tornillo, TX port of entry",Current Crisis,29.765877,-95.377633,United We Dream,Houston,Texas,United States,"1900 Kane St, Houston, TX 77007",,(713) 863-1422,,https://twitter.com/unitedwedream,https://unitedwedream.org/,,,,,
,2014-06-16 Innocents at the Border,2018-07-12 ACLU says it can't verify migrant reunifications,General,40.702303,-74.010526,ACLU,New York,New York,United States,"125 Broad Street, 18th Floor, New York NY 10004",,(212) 549-2500,,https://twitter.com/ACLU,https://www.aclu.org/,,,,,
,2012-06-25 Texans React to SCOTUS Ruling on Arizona Law,2018-06-06 Asylum seekers reportedly denied entry at border as Trump tightens 'zero tolerance' immigration policies,General,29.742339,-95.369404,ACLU Texas,Houston,Texas,United States,"1153, 1500 McGowen St, Houston, TX 77004",,(713) 942-8146,acluinfo@aclutx.org,https://twitter.com/ACLUTx,https://www.aclutx.org/,,,,,
,"2012-08-25 Young and Alone, Facing Court and Deportation",2018-06-20 ABA asylum project attorney describes representing separated families at the border,Current Crisis,26.191339,-97.694082,South Texas Pro Bono Asylum Representation Project,Harlingen,Texas,United States,"222 E. Van Buren Avenue, Suite 300, Harlingen, TX 78550",,(956) 425-9231,probar@abaprobar.org,,https://www.americanbar.org/groups/public_services/immigration/projects_initiatives/south_texas_pro_bono_asylum_representation_project_probar.html,,,,,
Founded in 2014; first news item from August 2015,,2017-06-28 Dispatches from “Baby Jail” in South Texas,Current Crisis,28.660838,-99.208286,CARA Project,Dilley,Texas,United States,"4680 Briscoe Rd, Dilley, TX 78017",,,caya@caraprobono.org,,http://caraprobono.org/,,Caya Simonsen,,,
,2014-06-20 Flood of undocumented kids from Central America strains services,2018-07-08 Don't forget about immigrant families in detention,Current Crisis,38.903444,-77.030038,Kids in Need of Defense (KIND) - DC,Washington,Washington DC,United States,"1300 L St. NW Suite 1100, Washington, DC 20005",,(202) 824-8680,info@supportKIND.org ; separation@supportkind.org,https://twitter.com/supportKIND,https://supportkind.org/,,,Information provided through Vera network,"Covers all of DC plus the following counties in VA: Arlington County, Alexandria City, Fairfax County, Prince William County",
,2014-06-09 ICE Asks Shelters in El Paso to House Undocumented Immigrants,2018-07-07 Border parent-children reunifications lagging,Current Crisis,31.771382,-106.477943,Las Americas Immigrant Advocacy Center,El Paso,Texas,United States,"1500 E. Yandell Dr., El Paso, TX 79902",,(915) 544-5126,administrator@las-americas.org,https://twitter.com/lasamericasiac,http://las-americas.org/,,,,,
,"2014-03-29 In San Juan, annual Cesar Chávez march focused on immigration, farmworkers rights",2018-06-28 Longtime Valley residents apply for citizenship amid immigration crisis,Current Crisis,26.186819,-98.135613,La Unión del Pueblo Entero (LUPE),San Juan,Texas,United States,"1601 U.S. 83 Business, San Juan, TX 78589",,(956) 787-2233,lupe@lupenet.org,https://twitter.com/LUPE_rgv,https://lupenet.org/,,,,,
,"2014-07 70,000 Kids Will Show Up Alone at Our Border This Year. What Happens to Them?","2018-06-22 In New York, Even a Count of Separated Children Proves Elusive",Current Crisis,41.785719,-87.598532,The Young Center for Immigrant Children's Rights,Chicago,Illinois,United States,"6020 S University Ave, Chicago, IL 60637",,(773) 702-9560,,https://twitter.com/TheYoungCenter,https://www.theyoungcenter.org/contact,,,,,
,"2010-12-30 Once A Mexican Tourist Town, Now No Man's Land","2018-06-21 Amid family-separation crisis, asylum seekers at the border face long waits, few options",Current Crisis,31.44,-111.02,Kino Border Initiative,Nogales,Arizona,"United States, Mexico","P.O. Box 159, Nogales, AZ 85628",,(520) 287-2370,,https://twitter.com/KinoBorder,https://www.kinoborderinitiative.org/,,,,,
,2014-08-11 Influx of Child Immigrants Strains Courts in Louisiana,"2018-06-18 Family Separations Are Just the Tip of the Iceberg at Texas Detention Centers, a New Report Says",General Crisis,40.704617,-74.011233,Human Rights First,New York,New York,United States,"75 Broad St, 31st Floor, New York, NY 10004",,(202) 370-3323,,https://twitter.com/humanrights1st,https://www.humanrightsfirst.org/,,,,,
,"2014-03-21 Fernando Garcia bridges the gap between residents and law enforcers in El Paso, Texas","2018-06-19 More than 1,000 people march on El Paso immigration center",Current Crisis,31.795634,-106.461737,Border Network for Human Rights,El Paso,Texas,United States,"2115 N Piedras St, El Paso, TX 79930",,(575) 520-8851,,https://twitter.com/bnhr,http://bnhr.org/,,,,,
,2016-09-19 Women’s Refugee Commission: Protecting Female Refugees Is Essential,"2018-06-21 U.S. Prepares to House Up to 20,000 Migrants on Military Bases",Current Crisis,40.75098,-73.984311,Women's Refugee Commission,New York,New York,United States,"15 West 37th Street, 9th Floor, New York, NY 10018",,(212) 551-3115,,https://twitter.com/wrcommission,https://www.womensrefugeecommission.org/,,,,,
,2014-05-05 Colibri Center launch puts human faces to border issues,2018-03-02 They Died Near the Border. Art Students Hope to Bring Them Back,General Crisis,32.175151,-110.928077,Colibri Center for Human Rights,Tucson,Arizona,United States,"Pima County Office of the Medical Examiner, 2825 E. District Street, Tucson, AZ 85714",,(520) 724-8644,,https://twitter.com/colibricenter,http://www.colibricenter.org/,,,,,
,2015-02-18 City and Local Organizations to Help Immigrants Despite Challenges to New Policies,2018-06-05 Here’s How You Can Help Fight Family Separation at the Border,Current Crisis,29.743453,-95.369604,Houston Immigration Legal Services Collaborative,Houston,Texas,United States,"1028, 2502 La Branch St, Houston, TX 77004",,(832) 554-6295,,https://twitter.com/@HTXimmigration/,https://www.houstonimmigration.org/,,,,,
,2015-10-08 Pope's 2016 Mexico Visit Excites Catholics Along The Border,"01-19-18 Asylum seekers face 'Iron Triangle of Deterrence' in El Paso under Trump, advocates say",Current Crisis,31.720408,-106.339947,Hope Border Institute,"Las Cruces, El Paso, Cd. Juárez","New Mexico, Texas, Chihuahua",United States & Mexico,"499 St. Matthews St., El Paso, TX 79907",,(915)8428400,,https://twitter.com/HopeBorder,https://www.hopeborder.org/,,,,,
,2014-09-04 Refuge-seeking kids face deportation hearings alone,2018-06-20 Inslee announces $1.2 million for civil legal aid funding to Northwest Immigrant Rights Project,Current Crisis,47.602722,-122.333233,Northwest Immigrant Rights Project,Seattle,Washington,United States,"615 2nd Ave, Suite 400, Seattle, WA 98104",,(206) 587-4009,,https://twitter.com/nwirp,https://www.nwirp.org/,,,,,
,2014-09-01 5 days along the border: Migrant dreams run dry,2018-06-24 Human Smuggling Across the Southern Border,Current Crisis,27.226207,-98.143649,South Texas Human Rights Center,Falfurrias,Texas,United States,"117 E. Miller St., Falfurrias, TX 78355",,(361) 325-2555,,https://twitter.com/STXHumanRights,https://southtexashumanrights.org/,,,,,
,"2015-12-01 Groups say they will defy Abbott, accept Syrian refugees",2018-06-25 El Paso Community Foundation launches fund to help migrant families,Current Crisis,31.77835906,-106.4672411,"Diocesan Migrant & Refugee Services, Inc.",El Paso,Texas,United States,"2400 E Yandell Dr, El Paso, TX 79903",,,,https://twitter.com/elpasodmrs,http://www.dmrs-ep.org/,,,,"Serves West Texas Detention Facility, Sierra Blanca",
,2016-05-12 Help for female immigrants fleeing violence is this lawyer’s calling,2018-06-15 What’s Really Happening When Asylum-Seeking Families Are Separated?,Current Crisis,29.748457,-95.4724561,Tahirih Justice Center,Houston,Texas,United States,"1717 St. James Place, Suite 450, Houston, TX 77056",,(713) 496-0100,,https://twitter.com/tahirihjustice,http://www.tahirih.org/locations/houston/,,,,,
,2014-11-19 Battered Wife Wins Suit Against Md. Matchmaker,2018-04-20 Children have a right not to be forced into marriage,General Crisis,39.2913464,-76.6149556,Tahirih Justice Center,Baltimore,Maryland,United States,"201 North Charles Street, Suite 920, Baltimore, MD 21201",,(410) 999-1900,,https://twitter.com/tahirihjustice,http://www.tahirih.org/locations/baltimore/,,,,,
,2013-05-06 Noted advocate for immigrant women to receive honorary NIU doctorate at May 10 graduation,2018-05-07 Tahirih Justice Center – Inside Scoop,General Crisis,38.8735515,-77.1601397,Tahirih Justice Center,Falls Church,Virginia,United States,"6402 Arlington Boulevard, Suite 300, Falls Church, VA 22042",,(571) 282-6161,,https://twitter.com/tahirihjustice,http://www.tahirih.org/locations/baltimore/,,,,,
,2002-12-05 Legal defense fund files appeal,2018-01-23 Lawsuit alleges Motel 6 discriminated against Latino customers by giving information to immigration agents,General Crisis,34.0449388,-118.2514517,Mexican-American Legal Defense Fund,Los Angeles,California,United States,"634 S. Spring Street, Los Angeles, CA 90014",,(213) 629-2512,,https://twitter.com/MALDEF,http://www.maldef.org/about/index.html,,,,,
,2011-10-06 Austin non-profit American Gateways seeks Executive Director,2018-03-28 Austin City Council funds immigrant aid through contract with nonprofit American Gateways,Current Crisis,30.3290949,-97.7114185,American Gateways,Austin,Texas,United States,"314 E. Highland Mall Boulevard, Suite 501, Austin TX 78752",,(512) 478-0546 ext. 200,,https://twitter.com/amergateways,http://www.americangateways.org/,,,,"Serves Karnes County Residential Center, South Texas Detention Complex, T. Don Hutto Residential Center",
,2015-07-27 Immigrants' attorneys say they were 'locked out' of detention centers after raising concerns,2018-03-26 San Antonio to provide legal representation for undocumented immigrants,Current Crisis,29.4271194,-98.5206545,American Gateways,San Antonio,Texas,United States,"2300 W. Commerce Street, Suite 313, San Antonio, TX 78207",,(210) 521-4768 ext. 232 or 233,,https://twitter.com/amergateways,http://www.americangateways.org/,,,,"Serves Karnes County Residential Center, South Texas Detention Complex, T. Don Hutto Residential Center",
,2016-11-16 American Gateways partners with Texas Bar Foundation to serve McLennan County,2018-04-26 Waco organizations to host fundraiser to help with DACA renewal cost,Current Crisis,31.5535966,-97.1334745,American Gateways,Waco,Texas,United States,"P.O. Box 2405, Waco, TX 76703",,(254) 230-0382,,https://twitter.com/amergateways,http://www.americangateways.org/,,,,"Serves Karnes County Residential Center, South Texas Detention Complex, T. Don Hutto Residential Center",
,2015-04-29 The Southern Poverty Law Center’s Teaching Tolerance program has named The Roeper School,"2018-06-18 Pressured, the Southern Poverty Law Center Admits It Was Wrong",General Crisis,32.3761407,-86.3032438,The Southern Poverty Law Center,Montgomery,Alabama,United States,"400 Washington Avenue, Montgomery, AL 36104",,(334) 956-8200,,https://twitter.com/splcenter,https://www.splcenter.org/,,,,,
,"2009-03-29 US treatment of immigrant detainees violates human rights, report says",2018-06-20 Trump's Executive Order Swaps Separating Families for Detaining Them Together,General Crisis,40.75192,-73.994068,Amnesty International - USA Headquarters,New York,New York,United States,"5 Penn Plaza, 16th Floor, New York, NY 10001",,(212) 807-8400,,https://twitter.com/amnestyusa,https://www.amnestyusa.org/campaigns/refugee-and-migrant-rights/,,,,,
,"2012-03-16 AMNESTY INTERNATIONAL USA ANNOUNCES FRANK JANNUZI, NEW HEAD OF THE WASHINGTON, D.C., OFFICE",2018-02-26 MCCOLLUM REMARKS AT AMNESTY INTERNATIONAL LOBBY DAY,General Crisis,38.885701,-76.997652,Amnesty International - Washington National Office,Washington,DC,United States,"600 Pennsylvania Ave, SE, 5th Floor, Washington, DC 20003",,(202) 546-7142,,,,,,,,
,2016-11-13 Amnesty International conference inspires attendees,https://nonprofitcenterboston.org/amnesty-international,General Crisis,42.351844,-71.057489,Amnesty International - Northeast Regional Office,Boston,Massachusetts,United States,"89 South Street, Suite LL01, Boston, MA 02111",,,,,,,,,,
,2016-11-19 Amnesty International: Southern Regional Conference,https://events.accessatlanta.com/event/amnesty-international-usa-southern-regional-conference-udnk3uwaqi,General Crisis,33.774485,-84.38599,Amnesty International - Southern Regional Office,Atlanta,Georgia,United States,"730 Peachtree Street, NE Suite 660, Atlanta, GA 30308",,,,,,,,,,
,2014-06-07 Atienden diario a 100 en El Buen Samaritano ,,General Crisis,32.5199669,-117.0367445,El Buen Samaritano,Mexicali,Baja California,Mexico,"Calle Morelos, No. 192, C.P. 174311, Mexicali, Baja California, MX ","Morelos, Tijuana, B.C., Mexico",,,,,,,http://es.survivingpostrelease.org/baja-california-mx.html,Added from Supervivencia Después de la Detención / Surviving Post-Release ,post-release: Food
,2015-07-07 HOTEL DEL MIGRANTE DE MEXICALI FUE UN OASIS EN EL DESIERTO,2017-07-12 Hotel del Migrante: testimonios de mexicanos deportados en la frontera de Mexicali,General Crisis,31.8687051,-116.6229069,"Hotel del Migrante, Angeles Sin Fronteras",Mexicali,Baja California,Mexico,"Avenida Reforma No. 220 A, Zona Centro, Mexicali, Baja California, MX ","Zona Centro, Ensenada, B.C., Mexico",044 686 2 09 61 38,,,,,,https://sites.google.com/site/angelessinfronteras,Added from Supervivencia Después de la Detención / Surviving Post-Release,"post-release: Bed, food, clothes"
,2014-01-31 Deportees and Refugees Crowd Migrant Shelters,"2018-06-25 At the border, mothers prepare to make an agonizing choice",Current Crisis,32.523395,-117.0013542,Centro Madre Assunta,Tijuana,Baja California,Mexico,"Calle Galileo, No. 2305, Colonia Postal, C.P. 22350 Tijuana, Baja California ","Calle Galileo 2305, Buena Vista, Lopez Leyva, 22416 Tijuana, B.C., Mexico",01 (664) 683-0575 ,assunta_tj@yahoo.com.mx,,,,,,Added from Supervivencia Después de la Detención / Surviving Post-Release ,"post-release: Bed, phones, food, clothes"
"Founded in 2008; more recent sources tend to cite the ""Somos Mexicanos"" project in conjunction with PRH",2010-11 Repatriation to Mexico: The Experiences of Persons Returned to Mexico by U.S. Authorities,2016-12-05 Apoyan a mexicanos repatriados de EU,General Crisis,32.5149469,-117.0382471,Programa de Repatriacion Humana,Tijuana,Baja California,Mexico,"Garita #1 Puerta México, s/n, Col. Federal. C.P. 22310  Tijuana, Baja California, Mexico","Tijuana, Baja California, Mexico","01(664) 973-0055, 01(664) 682-4038",,,,,,,Added from Supervivencia Después de la Detención / Surviving Post-Release,"post-release: Bed, phones, food, first aid, transport, clothes"
,2011-07-28 Atiende albergue a 200 indigentes,2016-04-08 Informan pérdidas en Albergue San Vicente,General Crisis,31.8668863,-116.6009565,"Albergue San Vicente: Instituto de Derechos Humanos de Indigentes y Migrantes, A.C.",Ensenada,Baja California,México,"Calle Novena #691, Colonia Bustamante, Ensenada, Baja California 22840",,(646)1760306,alberguemigrantes@prodigy.net.mx,,https://www.facebook.com/pages/Albergue-San-Vicente-Migrantes/285863041573824,,"Hermana María Rosa Dimalanta Laus, María del Carmen Sánchez",,,
Founded 1989,2013-03-29 El Albergue del Desierto,"2018-06-29 Migrants Choose to Stay in Mexico, Despite Risks",General Crisis,32.6544611,-115.4652778,Albergue del Desierto: Centro de Reintegración Familiar de Menores Migrantes,Mexicali,Baja California,México,"Ave. Carpinteros #1515 entre calle G y H, Colonia Industrial, Mexicali, Baja California 21010",,"(686)554-5364, (686)554-6045, +52 686 554 5364",alberguedes@prodigy.net.mx; alberguedeldesierto@hotmail.com,,https://www.facebook.com/Albergue-del-Desierto-326270444088398/,,"Mónica Oropeza, Blanca Villaseñor",,,
,2013-12-23 Entrega el Senador Victor Hermosillo donativo de alimentos a organismos que apoyan a repatriados,2018-04-30 “PROMULGACIÓN DEL ORDENAMIENTO DIOCESANO PARA LA PRIORIDAD SERVICIO”,General Crisis,32.6645023,-115.4962097,"Módulo Fronterizo ""Juntos en el Camino""",Mexicali,Baja California,México,"Garita #1 Mexicali-Calexico, Mexicali, Baja California, Módulo #3",,(686) 5519060,juntosenelcamino@prodigy.net.mx,,,,Ernestina López Ibarra,,,
,2012-03-12 Entregaron más recursos para el apoyo a migrantes,2017-08-14 Entregó gobernador Francisco Vega recursos a 14 organismos de apoyo a migrantes,General Crisis,32.6452913,-115.4626048,Centro Pastoral Maná de Mexicali,Mexicali,Baja California,México,"Jesús García #1799, Colonia Héroes de Nacozari, Mexicali, Baja California 21030",,(686) 5560271,alberguemana@hotmail.com,,,,Ceferino Lizárraga,,,
,"2008-12-18 La casa del migrante Betania, oasis en BC","2018-05-12 Casa Betania, 40 años al servicio de la comunidad",Current Crisis,32.607357,-115.4436231,Casa Betania: Coordinadora del Programa de Apoyo al Trabajador Migrante,Mexicali,Baja California,México,"Lago Hudson #2408, Colonia Xochimilco, Mexicali, Baja California 21380",,(686) 580 0687,"casa_migrante_betania@hotmail.com, jverdugol@casabetaniamexicali.com",,,,"Jorge Verduzco, Olga Cecilia Rodríguez",,,
,http://www.el-mexicano.com.mx/imprime-noticia/526525,2017-08-15 Entregan apoyos para emigrantes,General Crisis,32.653903,-115.479104,Dispensario Médico Dr. Cañedo,Mexicali,Baja California,México,"Calle Sur #701, Col. Bella Vista, Frente a la Parroquia San José Obrero, Mexicali, Baja California, C.P. 21150",,(686) 552-4110,dispensariomedicodrcanedo@hotmail.com,,,,Norma de Reynoso,,,
,http://victor-hermosillo-boletin.blogspot.com/2014/,2018-06-18 Comedor de migrantes requiere de alimento,Current Crisis,32.653903,-115.479104,Comedor el Buen Samaritano: Banco de Alimentos CARITAS,Mexicali,Baja California,México,"Calle Sur y Celaya, S/N Colonia Bella Vista, Mexicali Baja California 21150 (Dentro de la Parroquía San José Obrero)",,(686) 5526497 / (686) 5526122,caritasmexicali@hotmail.com,,,,"Padre Gamael Sebastián Vargas, Ignacio Castro",,,
,2014-03-13 Fotos para entender mejor a un deportado (EXPLÍCITAS),2018-06-16 Por qué este hotel para migrantes en Mexicali es distinto a otros refugios en la frontera,Current Crisis,32.6659992,-115.4524362,Angeles sin Fronteras: Hotel de los Migrantes Deportados,Mexicali,Baja California,México,"Ave. Reforma #244 Altos Zona Centro, Mexicali, Baja California",,(686) 2096138 / (686) 1984481,"hugocastrov@yahoo.com, sergiotamai@hotmail.com",,,,"Sergio Tamai Quintero, Olga Ontiveros Calderón, Hugo Castro",,,
,2015-09-23 Recibe Gobierno de Baja California 5.8 millones de pesos para ayudar a migrantes,2017-02-16 SIN RECURSOS CASA DEL MIGRANTE NUESTRA SEÑORA DE GUADALUPE,General Crisis,32.5720226,-116.6269225,Casa del Migrante Nuestra Señora de Guadalupe,Tecate,Baja California,México,"Avenida Hidalgo #220, Zona Centro, Tecate, Baja California ",,(665) 6541263 / (665) 6551641,casadelmigrantetecate@hotmail.com,,,,"Antonio López Anduaga, Carlos Torres",,,
,2014-09-03 CASA DEL MIGRANTE,2017-04-27 La Casa del Migrante cumplió 30 años en Tijuana,Current Crisis,32.5228718,-117.0017325,Casa del Migrante en Tijuana,Tijuana,Baja California,México,"Calle Galileo #239, Colonia Postal, Tijuana, Baja California 22350",,(664) 6825180 / (664) 3827685,sadelmig@yahoo.com,,http://www.migrante.com.mx/,,"Padre Luiz Kendzierski, Gilberto Martínez",,,
,http://www.uniradioinforma.com/noticias/bajacalifornia/322751/casa-ymca-atendio-mil-300-ninos-no-acompanados-repatriados-por-tijuana.html,2018-06-06 Crece en 2018 deportación de menores migrantes: Casa YMCA,Current Crisis,32.5144291,-117.0214861,Casa YMCA para Menores Migrantes: Federación de Asocianes Cristiana de Jóvenes de la República Mexicana,Tijuana,Baja California,México,"Blvd. Cuauthémoc Sur #3170, Colonia Chula Vista, Tijuana, Baja California 22410",,(664) 6861359 / (664) 6863697,urielmam@prodigy.net,,http://www.ymca.org.mx/federacion/casasdir.htm,,Uriel González,,,
,2011-07-27 La Coalición Pro Defensa del Migrante condena la actitud de la policía federal al intentar allanar las instalaciones de la Casa del Migrante en Tijuana y el ingreso ilegal a la Casa YMCA para menores migrantes.,2018-03-15 INCONTENIBLE LA MIGRACIÓN FORZADA A LA FRONTERA: COALICIÓN PRODEFENSA DEL MIGRANTE,General Crisis,32.5416175,-117.0307212,Coalición Prodefensa del Migrante,Tijuana,Baja California,México,"Garita Puerta México / Garita Mesa de Otay, Tijuana, Baja California",,(664) 6077077,coalipro@hotmail.com,,,,Esmeralda Siu,,,
,http://www.el-mexicano.com.mx/informacion/noticias/1/3/estatal/2013/01/09/642293/habilitan-refugios-en-tijuana-por-frente-frio,2017-10-19 ¿Cómo saber dónde estuvo un migrante desaparecido?,General Crisis,32.5008229,-116.9565874,Casa Hogar Beato Juan Diego,Tijuana,Baja California,México,"Río Tijuana #3551, Colonia Chapultepec Alamar, Tijuana, Baja California 22110",,(664) 6213041 / (664) 6213763,,,,,Hermana Francis Pérez,,,
,http://ayuntamientosbajacalifornia.blogspot.com/2013/03/tijuana-atencion-al-migrante-chiapaneco.html,,General Crisis,32.52191,-116.9849063,Módulo de Atención al Migrante Chiapaneco: Unión de Comités Comunitarios de Tijuana,Tijuana,Baja California,México,"Av. Las Lomas #590, Colonia Buena Vista, Tijuana, Baja California 22420",,(664) 6241628,,,,,Ocario Vásquez García,,,
,http://www.sandiegouniontribune.com/hoy-san-diego/sdhoy-hermandad-mexicana-dona-chamarras-a-deportados-en-2013dec10-story.html,http://www.frontera.info/EdicionEnlinea/Notas/Policiaca/07102017/1262637-4-muertos-y-2-lesionados-tras-tiroteo.html,General Crisis,32.5305238,-117.0331209,Casa Refugio Elvira/Mica: Hermandad Mexicana Transnacional,Tijuana,Baja California,México,"Calle 7 Hermenegildo Galeana #8780 entre Ocampo y Pío Pico, Zona Centro, Tijuana, Baja California",,(664) 6858284,micasausedo@aol.com,,,,Micaela Saucedo Casillas,,,
