name, duns
"Arotech Corporation", "825036189"
"Stg International, Inc.", "179570403"
"R&R Enterprises, Inc.", "013567606"
"Telerik Inc.", "868038840"
"Conference Technologies, Inc.", "619503634"
"Tecolote Research, Inc.", "074108176"
"FN America, LLC", "098401086"
"K'Oyitl'ots'ina, Limited", "943392522"
"Textron Inc.", "023211535"
"Varidesk, LLC", "079464963"
"Asset Protection & Security Services, LP", "009741828"
"National September 11 Memorial and Museum At The World Trade Center Foundation, Inc.", "178480146"
"Accessdata Group, Inc.", "963484485"
"Forge Company", "107930133"
"Spartan Chemical Company, Inc.", "005036728"
"Inforeliance LLC", "143147762"
"Comprehensive Health Services, Inc.", "087701231"
"Widepoint Corporation", "788549012"
"Govplace", "957050883"
"Government Acquisitions, Inc.", "603814054"
"Tsrc, Inc.", "195583778"
"Colonial Parking, Inc.", "072634389"
"Integration Technologies Group, Inc.", "126511963"
"Old Harbor Native Corporation", "187615534"
"Mythics, Inc.", "013358002"
"Blue Canopy Group, LLC", "100364152"
"Garrett Electronics, Inc.", "004996112"
"Language Line, LLC", "059682471"
"Good Source Solutions, Inc.", "158110697"
"American Expediting Company", "108840075"
"Kpaul Properties, LLC", "785308797"
"Knight Point Systems, LLC", "622594492"
"L C Industries Inc.", "003197803"
"Glock, Inc.", "148099450"
"H S Morgan Limited Partnership", "859780389"
"Price Modern LLC", "003073525"
"Excella Consulting, Inc.", "124023404"
"GRANT THORNTON INTERNATIONAL LIMITED", "347201258"
"Booz Allen Hamilton Engineering Services, LLC", "075916762"
"Coronado Distribution Company, Inc.", "965961860"
"Affordable Interior Systems, Inc.", "969380372"
"Affordable Interior Systems, Inc.", "626060222"
"Danya International LLC", "009741190"
"Cambridge International Systems Inc.", "074343414"
"Data Systems Analysts, Inc.", "048620512"
"HDR Environmental, Operations and Construction, Inc.", "785918954"
"Lyme Computer Systems, Inc.", "144763067"
"Avaya Federal Solutions, Inc.", "790472240"
"Advanced Educational Products, Inc.", "966326514"
"ADC Ltd NM", "146389994"
"Loyal Source Government Services LLC", "831017848"
"Combined Systems, Inc.", "057223794"
"Thermo Scientific Portable Analytical Instruments Inc.", "112893131"
"Witmer Public Safety Group, Inc.", "928251321"
"Management Concepts, Inc.", "082355652"
"Nc4 Inc.", "143630502"
"Adorama Inc.", "087403499"
"Zenetex, LLC", "125368121"
"The Office Group Inc", "119079903"
"Sirina Fire Protection Corp.", "624851515"
"Ovation Enterprises, Inc.", "014089630"
"Amazon.Com LLC", "128990368"
"Optech, L.L.C.", "127865447"
"Cisco-Eagle, Inc.", "153523022"
"Astrophysics Inc.", "138619452"
"Computech International, Inc.", "932683121"
"Unistar-Sparco Computers, Inc.", "959391509"
"McCall Handling Co.", "002544492"
"Global Precision Systems, LLC", "805596710"
"G T Distributors, Inc.", "147131627"
"Sevatec Inc.", "132599668"
"Calspan Corporation", "171078947"
"Cq-Roll Call, Inc.", "780247644"
"Premier & Companies, Inc.", "784141384"
"Integral Consulting Services Incorporated", "018193669"
"Tenergy Corporation", "799056143"
"Kdh Defense Systems, Inc.", "142984124"
"Blackstone Technology Group", "112074757"
"Faac Incorporated", "175204163"
"Opsec Security, Inc.", "836425207"
"Twentyeighty Strategy Execution, Inc.", "120840798"
"B.E. Meyers & Co. Inc.", "086251469"
"Graduate School", "040535536"
"Xl Associates, Inc.", "608717450"
"Dkw Communications, Inc.", "832162536"
"Tab Products Co. LLC", "009154659"
"Chenega Facilities Management, LLC", "078650478"
"National Industries For The Blind", "001672120"
"Brown Point Facility Management Solutions LLC", "080438446"
"Jatom Systems Inc", "242694172"
"Equus Holdings, Inc", "079481120"
"Rimage Corporation", "151772530"
"Trailboss Enterprises, Inc.", "879740454"
"Fcn, Inc.", "615378007"
"Micro Systemation AB (Publ)", "355229832"
"Global Tech Inc.", "171898732"
"Atkinson-Baker, Inc.", "607957693"
"Central Lake Armor Express, Inc.", "602335882"
"Aeec, LLC", "036279193"
"Impres Technology Solutions, Inc.", "011182784"
"The J Diamond Group Inc", "883217606"
"Farber Specialty Vehicles, Inc.", "106001675"
"Ceia Usa, Ltd", "176329795"
"Snap, Inc.", "007805067"
"Scaletta Moloney Armoring Corp", "847414760"
"Optivor Technologies, L.L.C.", "112865048"
"Tri-Cor Industries, Inc.", "146881875"
"American Alarm & Communications, Inc.", "062164900"
"One Stop Environmental, LLC", "806933284"
"Southwest Solutions Group, Inc.", "171909963"
"Allclear Id, Inc.", "790818772"
"Abba Technologies, Inc.", "829063734"
"Nosler, Inc.", "009028176"
"Promaxima Manufacturing, Ltd.", "606673937"
"Phoenix Textile Corporation", "103202859"
"Production Automation Corporation", "066828476"
"Focus Camera, Inc.", "147996417"
"Keypoint Government Solutions, Inc.", "152867235"
"Casey & Hayes, Inc.", "003773603"
"Aerostar Airport Holdings, LLC", "078738235"
"Marlin Equity Partners III, L.P.", "611639688"
"Trofholz Technologies, Inc.", "119514144"
"Bahfed Corp.", "078277396"
"Vicon Industries, Inc.", "043837947"
"Capgemini Government Solutions LLC", "132048377"
"Ewa Government Systems, Inc.", "103197583"
"International Association of Chiefs of Police, Incorporated", "072632482"
"Fedresults, Inc.", "884261082"
"Atd-American Co.", "001992338"
"Broadcast Microwave Services, Inc", "032006470"
"American Security Programs, Inc", "879059400"
"Sayres and Associates Corp", "017610036"
"Citizant, Inc.", "068729529"
"ABM Federal Sales, Inc.", "064632888"
"Inseego North America, LLC", "800250008"
"MCP Computer Products Inc.", "022567908"
"Hanaps Enterprises", "101753403"
"Chief Supply Corporation", "929305191"
"Simon Wiesenthal Center, Inc.", "151580305"
"V.H. Blackinton & Co., Inc.", "001197789"
"17th St. Photo Supply, Inc.", "786094003"
"Maryland Economic Development Corporation", "118030845"
"Square One Armoring Services Co", "787361302"
"Alexander Electric Co.", "033638016"
"Ardent Management Consulting, Inc.", "617942987"
"Savantage Financial Services, Inc.", "878187012"
"Selex Es Inc.", "198749777"
"ISS Action, Inc.", "166084541"
"Paladin Capital Group", "620371422"
"United Tactical Systems, LLC", "078537385"
"Complete Book & Media Supply, LLC", "010891187"
"Kcorp Technology Services, Inc.", "131666708"
"Trimech Solutions, LLC", "014197144"
"FOSTER & FREEMAN LIMITED", "226012417"
"Integrated Parcel Network", "122767437"
"Satcom Direct Communications, Inc.", "141315924"
"Datum Filing Systems, Inc.", "061974549"
"Venturehouse Group LLC", "825796688"
"Visual Systems Group, Inc.", "084567473"
"Helgen Industries, Inc.", "093315810"
"Personnel Decisions Research Institutes, LLC", "037335296"
"Federal Management Systems, Inc.", "627810476"
"Gemini Industries Inc.", "197503212"
"Outlook-Nebraska, Inc.", "001807549"
"Allworld Language Consultants Inc.", "949873624"
"U.S. Business Interiors, Inc.", "614386019"
"Swank Motion Pictures, Inc.", "006301154"
"L & R Manufacturing Co Inc", "002176741"
"Recovery Point Systems, Inc.", "018385547"
"Online Consulting, Inc.", "125047027"
"Terathink Corporation", "114921872"
"Miracle Systems LLC", "133239397"
"Integrio Technologies, LLC", "156992745"
"US 21, Inc.", "040928496"
"Golden Key Group, LLC", "111187295"
"Acuity, Inc.", "103312802"
"Pyramid Systems, Inc.", "956122402"
"Medical Technology Associates, Inc.", "037300886"
"Clearavenue, LLC", "124289708"
"Cellebrite Inc.", "033095568"
"Fpmi Solutions, Inc.", "143339492"
"Exxact Corporation", "788479368"
"Ellison Systems Inc.", "942173550"
"The Corporate Source Inc", "018836440"
"Cbt Nuggets, LLC", "784227402"
"Caprice Electronics, Inc.", "092658152"
"Gaylord Bros., Inc.", "135745219"
"Tqm, LLC", "883012874"
"Whitaker Brothers Business Machines, Inc", "024292732"
"Ingenesis Inc.", "019992424"
"American Purchasing Services, LLC", "062722038"
"McKinsey & Company, Inc. Washington D.C.", "825229318"
"Marentco, Inc.", "010552933"
"SAI Systems International, Inc.", "879774248"
"Widepoint Integrated Solutions Corp.", "004693904"
"Native Energy & Technology, Inc.", "080778868"
"Ase Direct, Inc.", "616385667"
"Security Engineered Machinery Co., Inc.", "005957329"
"Ana-Lab Corporation", "058667809"
"Nyp Corp. (formerly New Yorker-Peters Corporation)", "001774090"
"Talton Communications, Inc.", "136890881"
"Customer Value Partners, Inc.", "113045715"
"Kadix Systems, LLC", "127327877"
"Diverse Staffing Services, Inc.", "090012183"
"International Television Corp", "028525582"
"Brede-Washington, Inc.", "003250552"
"The ARC of Cumberland and Perry Counties", "071191787"
"Cannon IV, LLC", "075961300"
"Tsymmetry, Inc.", "070899393"
"Asso For The Blind and Visually Impaired-Goodwill Industries of Greater Rochester, Inc.", "073695165"
"Inserso Corporation", "059354865"
"Canal Alarm Devices, Inc.", "103280830"
"Alert Holdings Group, Inc.", "033174293"
"The Lioce Group Inc", "798247446"
"Omnifics, Inc.", "121556096"
"Corp Ten International", "112996327"
"Central Association For The Blind, Inc.", "099903148"
"Research Electronics International, LLC", "101760734"
"Liveu Inc.", "004366082"
"Brmi Consulting, Inc.", "151288037"
"Ben Fitzgerald Real Estate Services, L.L.C.", "053117149"
"Lincoln Securities Corp.", "050726181"
"Pen-Link, Ltd.", "195956636"
"B & K Technology Solutions Inc.", "139397058"
"The Medalcraft Mint Inc", "006130371"
"Singhal & Co, Inc", "137072729"
"Visionworx, LLC", "124116463"
"American Immigration Lawyers Association", "053109898"
"Insight Technology Solutions Inc.", "052311607"
"Franklin Covey Client Sales Inc", "012290503"
"H. L. Dalis, Inc.", "008921660"
"Logistics Applications Inc.", "177039286"
"Compu Dynamics, LLC", "118727283"
"Omni Business Systems-Fax Plus Inc.", "193803103"
"Westwind Computer Products, Inc.", "876868563"
"Portals Hotel Site LLC", "135471162"
"Global Resource Solutions, Inc.", "610974201"
"Amron International, Inc.", "086003852"
"C.F.I. Delivery, Ltd.", "931670392"
"Emergent, LLC", "781797712"
"Forfeiture Support Associates LLC", "134510648"
"A. Harold and Associates LLC", "130381051"
"Supreme Security Systems, Inc.", "945163509"
"Advanced Technologies and Laboratories (atl) International, Inc", "827013467"
"The Go To Group Inc", "146047928"
"Federal Contracts Corp", "094261935"
"Annams Systems Corporation", "869159897"
"Electronic Risks Consultants, Inc", "025761714"
"Sytel, Inc.", "361625932"
"Spectrum Services Group, Inc", "828301213"
"Penn Tool Co Inc", "011520277"
"Shiffler Equipment Sales, Inc.", "064103047"
"Federal Cartridge Company", "006254833"
"Protective Products Enterprises, Inc.", "961868721"
"ARC Aspicio LLC", "168719552"
"Anchortex Corporation", "615503877"
"Bulletin Intelligence LLC", "827749289"
"Sixt Rent A Car, LLC", "969770952"
"PRAESIDIUM SPA", "338309115"
"Provengo, LLC", "142120273"
"Cartridge Technologies, Inc.", "556978807"
"A2z Supply Corp", "808414531"
"Bml Tool & Mfg Corp.", "046420766"
"Dtc Communications, Inc.", "190828541"
"Aero Mobility, Inc.", "802856083"
"Resurgens Risk Management Inc", "845109339"
"Certified Languages International, LLC", "009636361"
"Optim LLC", "052927001"
"Dakota Consulting, Incorporated", "168926264"
"Integrityone Partners, Inc.", "015277887"
"Envision Xpress, Inc.", "118860779"
"Defense Point Security, LLC", "832904770"
"B.V. Oil Company, Inc.", "107689713"
"Software Forensics, Inc", "612674457"
"Southern Police Equipment Company, Inc.", "058916180"
"Government Contract Solutions Inc", "948928270"
"H Squared, Inc.", "063079268"
"Macro Companies, Inc. of Delaware", "034302497"
"Kel-Tech Plastics, Inc.", "027541754"
"Project Performance Company LLC", "622496230"
"Access Products, Inc.", "151045309"
"J.P. Industries, Inc.", "958098352"
"T-Rex Solutions, LLC", "062808535"
"M-Pak, Inc.", "082894929"
"Last Mile, Inc.", "037153124"
"Deluxe Delivery Systems Inc.", "191974203"
"AVA RISK GROUP LIMITED", "750159915"
"Heckler & Koch Defense Inc.", "134466999"
"Eastern Carolina Vocational Center, Inc.", "075553560"
"Kapsuun Group, LLC", "079539589"
"Shore Solutions, Inc.", "968058177"
"Adaptive Digital Systems, Inc.", "043957141"
"American Correctional Association", "074811571"
"Universal Music-Mgb NA LLC", "605437870"
"Starside Security & Investigation, Inc.", "097786441"
"Contract Furnishings, Inc.", "100650816"
"Sunshine Makers, Inc.", "068206705"
"Fedstore Corporation", "051237027"
"Independent Hardware, Inc.", "051398089"
"Allied Modular Building Systems Incorporated", "617606645"
"Computer Projects of Illinois, Inc.", "166994863"
"Umbc Training Centers LLC", "198350394"
"Rhg Group, Inc.", "178074969"
"Lafayette Instrument Company, Inc.", "005080650"
"Csi Aviation, Inc.", "102793460"
"North Central Sight Services, Inc.", "079186185"
"Alta Language Services, Inc", "034595699"
"Reconrobotics, Inc.", "191067664"
"The Lighthouse For The Blind In New Orleans Incorporated", "008188898"
"Meristar Pentagon City, LLC", "099430634"
"Word Systems Inc", "085619880"
"Logicube, Inc.", "868095969"
"Black Gold Industries", "182004838"
"Luxfer Magtech, Inc.", "079446686"
"Azimuth Corporation", "030352822"
"Emtec Federal, LLC", "064299332"
"Bizflow Corp.", "008913373"
"Conduit Language Specialists, Inc.", "005065946"
"At Your Service Heating & Cooling LLC", "009557104"
"Hudson River Park Trust", "803838374"
"Safari Books Online, LLC", "623591174"
"Jtf Business Systems Corporation", "948396890"
"Range Systems, Inc.", "965573421"
"Advanced Government Solutions, Inc.", "183749220"
"Advanced Defense Technologies Inc.", "783014954"
"Sirina Protection Systems Corp.", "009266052"
"C2g, Ltd Co.", "827663563"
"Safer Society Group Sweden AB", "350663899"
"Jdl Digital Systems, Inc.", "165449872"
"Strategic Enterprise Solutions, Inc.", "129148610"
"Ics Jail Supplies, Inc.", "148161193"
"JAVA PRODUCTIONS, INC.", "143692858"
"STRONG GROUP, INC.", "057823684"
"Truckvault, Inc.", "962916144"
"Venture Netcomm, Inc.", "942320656"
"Springfield, L.L.C.", "187568928"
"Weber Computer Supply Company", "613480586"
"Young Franklin International Inc", "113785385"
"Sonitrol Security Services, Inc.", "070622857"
"Watch Systems, L.L.C.", "110482101"
"Vastec, Inc.", "808137546"
"Wecsys LLC", "836284091"
"Bishop & Associates, Inc.", "192060796"
"Netcom Learning Inc.-NY", "078843526"
"Daigger Scientific, Inc.", "079748458"
"C & C International Computers & Consultants, Inc.", "932469612"
"Service Works Inc.", "171852098"
"APL Access & Security, Inc.", "182546234"
"Bennet Communications, Inc.", "956259105"
"Blue Fish Worx LLC", "132286332"
"Hawaiian Telcom Services Company, Inc", "190856190"
"Karda Systems LLC", "808474212"
"Association of Government Accountants", "072633340"
"Global Data Center Inc.", "926705633"
"Sentry Air Systems, Inc.", "121016844"
"Solutions Through Innovative Technologies, Inc.", "003592412"
"Technical Communities, Inc.", "086438152"
"Jenkins Security Consultants, Inc.", "926769431"
"Data Facts Inc", "784635021"
"Procentrix, Inc.", "626154640"
"Central States Wire Products, Inc.", "088692843"
"Lund Industries, Inc.", "066224189"
"Volicon Inc.", "152871823"
"Automation Aids, Inc.", "048596811"
"Greenzone Solutions, Inc.", "052128984"
"Industrial Video & Control Co., LLC", "066753844"
"Legal Interpreting Services, Inc.", "965603293"
"Signature Technology Solutions, Inc.", "090599171"
"Merrimac Petroleum, Inc.", "199077819"
"Out & Equal Workplace Advocates", "114129591"
"Mmi Outdoor, Inc.", "621407980"
"Marcon International, Inc.", "144906075"
"Ultimate Training Munitions Inc.", "782677426"
"Hergo, Ergonomic Support Systems, Inc.", "791990146"
"Fox River Graphics, LLC", "155143050"
"Metro Office Solutions, Inc.", "787411917"
"Mosaik Solutions, LLC", "828787395"
"Innoviss, Inc.", "962701632"
"TCS Interpreting, Inc.", "112636170"
"Babco International, Inc.", "077176477"
"SHINE ENTERPRISES, LLC", "808354448"
"Lincoln Moving & Storage of Buffalo, Inc.", "009853045"
"Contract Furnishings, Inc.", "940825334"
"Hardware, Inc.", "361400849"
"Crossroads Courier Inc.", "046198011"
"McManis Associates Inc.", "072637457"
"Document Imaging Dimensions, Inc.", "038062712"
"Federal Lock and Safe, Incorporated", "622814648"
"Best-TEC Asbestos Abatement, Inc.", "362572737"
"Specialty Vehicle Solutions, LLC", "113188770"
"Sumuri LLC", "968093398"
"Incident Communication Solutions, LLC", "784154895"
"Botach Inc.", "965068661"
"Securityhunter, Inc.", "610626798"
"Middle Georgia Diversified Industries Inc", "118280150"
"Susteen, Inc.", "797052701"
"Brantley Bros Moving & Storage Co Inc", "051266187"
"Star Poly Bag, Inc.", "001376565"
"Itin Scale Co., Inc.", "020569067"
"Goodco Mechanical Inc", "015490144"
"Rite-Kem, Inc.", "786892927"
"Uniforms Manufacturing, Inc.", "098009814"
"Parker Tide Corp.", "009043600"
"Success Tech Management and Services, Inc.", "017181079"
"Trs Inc.", "098253771"
"Forbes, Inc., C.", "027839211"
"National Sheriffs' Association", "020291605"
"Integrated Finance and Accounting Solutions, LLC", "790473453"
"Interceptor Public Safety Products, Inc.", "926918756"
"Kalos, Inc.", "031414766"
"Rigaku Analytical Devices, Inc.", "078381879"
"Crescent Products, Inc.", "152887261"
"Neal R. Gross and Company, Inc.", "001627124"
"Applied Fundamentals Consulting LLC", "965669000"
"Federal Hearings and Appeals Services, Inc.", "036982932"
"Cjen Inc.", "137200726"
"Owyhee Group Companies", "060704830"
"Wmk San Antonio LLC", "078306688"
"National Cyber-Forensics and Training Alliance Limited.", "191665814"
"J S J Rodriguez, Inc.", "039494143"
"Comcast Business Communications, LLC", "968185491"
"Nova Solutions, Inc.", "194331401"
"Republic Properties Corp", "609647649"
"Justice Packaging Corporation", "783194087"
"Acorn Office Products, LLC", "192770050"
"Jwm Wholesale, Inc.", "083847876"
"Economic Systems, Inc.", "038798468"
"Beacon Telecom, Inc.", "873107627"
"Knowledgebank, Inc.", "132498200"
"Aardvark", "861004349"
"Swish Data Corporation", "623506107"
"Imsolutions LLC", "122559698"
"SPS Industrial Inc.", "167960462"
"Metropolitan Interpreters & Translators, Inc.", "186945325"
"National Commission On Correctional Health Care", "167646140"
"Future Fibre Technologies (us) Inc.", "602667839"
"Copier Fax Business Technologies, Inc.", "621647056"
"Capital Compressor, Inc.", "131951972"
"General Dynamics Information Technology, Inc.", "067641597"
"PATRIOT SOLUTIONS, INC", "132222063"
"Wrigglesworth Enterprises Inc", "612878772"
"Foster & Freeman USA Inc.", "136391252"
